,OD,ID,t,Pd,Pa,Pt,Pb
0,12.0,10.0,1.0,4891.546483699129,5502.989794161521,8184.872932393076,8152.577472831882
1,12.2,10.0,1.1,5485.180011235133,6170.827512639525,8926.91484181309,9141.966685391888
2,12.4,10.0,1.2,6069.160532202083,6827.805598727345,9656.890493021769,10115.267553670139
3,12.6,10.0,1.3,6643.796962905824,7474.271583269053,10375.186031401456,11072.994938176374
4,12.8,10.0,1.4,7209.383623944961,8110.556576938082,11082.169357700368,12015.639373241602
5,13.0,10.0,1.5,7766.201145464507,8736.976288647573,11778.191259599807,12943.66857577418
6,13.2,10.0,1.6,8314.517303298016,9353.83196621027,12463.586456891688,13857.528838830027
7,13.4,10.0,1.7,8854.587792234326,9961.411266263618,13138.674568062073,14757.646320390544
8,13.6,10.0,1.8,9386.656941998841,10559.989059748697,13803.76100526772,15644.428236664737
9,13.8,10.0,1.9,9910.958380967653,11149.82817858861,14459.13780397873,16518.26396827942
10,14.0,10.0,2.0,10427.71565212717,11731.180108643068,15105.084392928133,17379.526086878617
