[70],Minerals Management,Texas-Louisiana
,"Study, CD-ROM NODC-88 through -92, Texas A&M University, Data and Reports, 19921994",
[71],"Murray S.P., An Observational Study of the Mississippi-Atchafalaya Coastal Plume, OCS Study",
,"MMS 98-0040, US Dept. of the Interior, Minerals Management Service, New Orleans, 1997",
[72],"Science Applications International Corporation 7, Gulf of Mexico Physical Oceanography Program,",
,"Final Report: Year 5, Vol. II: Technical Report, 1989, OCS Study MMS-89-0068, US Dept. of the",
,"Interior, Minerals Management Service, Gulf of Mexico OCS Regional Office, New Orleans, p. 333",
[73],"Nowlin W.D. Jr., Jochens A.E., DiMarco S.F., Reid R.O. and Howard M.K., Deep Water Physical",
,"Oceanography Reanalysis and Synthesis of Historical Data: Synthesis Report, OCS Study MMS",
,"2001-064, US Dept. of the Interior, Minerals Management Service, Gulf of Mexico OCS Regional",
,"Office, New Orleans, p. 528",
[74],"Cooper C., Forristall G., Hamilton P. and Ebbesmeyer C., Utilisation of Offshore Oil Platforms for",
,"Meteorological and Oceanographic Measurements, Mar. Technol. Soc. J., 1993, 27 (2) pp. 1023",
[75],"Fugro GEOS, Technical Reference: Gulf of Mexico, 2003",
[76],"Rosendal H.E., Northers of the Gulf of Mexico and Central American Waters, Internet Document",
,"from Mariners Weather Log, 1965",
[77],"Teague W.J., Hwang P.A., Jacobs G.A., et al., A Three-Year Climatology of Waves and Winds in",
,"the Gulf of Mexico, Naval Research Laboratory Report No. NRL/MR/7332-97-8068, 1997",
[78],"Met Office 8, Meteorology for Mariners, 1990",
[79],"Vukovitch F.M., An Updated Evaluation of the","Loop Currents Eddy-Shedding Frequency, J."
,"Geophys. Res., 1995, 100 (C5), pp. 86558659",
[80],"Nowlin W.D., Reid R.O., et al., Overview of Classes of Currents in the Deep Water Region of the",
