Beaufort Sea,Unnamed: 1
Return Period (years) Metocean Parameter,
100 50 10 5,1
Wind speed a,
Hourly average (m/s) 31.67 29.17 26.94 23.89,16.67
1 min average (m/s) 41.67 38.89 35.83 32.22,29.72
Waves,
Maximum height (m),
- shelf (< 60 m) 5 to 8 5 to 8 4 to 8 3 to 7,2 to 4
- deep (> 60 m) 9 to 15 9 to 14 9 to 12 7 to 10,4 to 5
Significant height (m),
- shelf (< 60 m) 3 to 5 3 to 5 2 to 4 2 to 4,1 to 2
- deep (> 60 m) 5 to 8 5 to 8 4 to 6 3 to 5,2 to 3
Associated peak period (s),
- shelf (< 60 m) 8 to 10 7 to 10 7 to 9 7 to 8,5 to 7
- deep (> 60 m) 10 to 11 10 to 11 9 to 11 8 to 10,7 to 8
Current speed,
Surface (m/s),
Mid-depth (m/s),
Near-bottom (m/s),
Storm surge,
Surge above MSL (m) 1.4 to 1.8 1.3 to 1.6 1.2 to 1.3 1.1,0.6
a Based on a reference height of 10 m above sea level.,
b Based on average of 1-year and 10-year data. To be updated in future revisions of this annex.,
c Based on average of 10-year and 100-year data. To be updated in future revisions of this annex.,
