Unnamed: 0,Unnamed: 1,Return Period (years),Unnamed: 2
Metocean Parameter,,,
,1,10 50,100
Nominal water depth (m),4.2,4.2 4.2,4.2
Wind speed at 10 m above MSL,,,
10 min mean (m/s),30.7,36.0 39.7,41.3
3 s gust (m/s),36.0,45.5 50.7,53.0
Waves,,,
Maximum height (m),2.2,2.5 2.8,2.9
Significant height (m),1.3,1.5 1.7,1.8
Direction (from),W,W W,W
Spectral peak period (s),4.8,5.0 5.1,5.2
Surge,,,
Positive surge (m),0.8,1.4 1.8,2.0
Negative surge (m),0.7,1.4 1.9,2.1
Current speed,,,
Surface (m/s),,,
Mid-depth (m/s),0.59,0.78 0.92,0.97
1 m above sea floor (m/s),,,
