Unnamed: 0,Unnamed: 1,Unnamed: 2,Return Period (years),Unnamed: 4,Unnamed: 5
Metocean Parameter,,,,,
,1,5,10 50,100,
Nominal water depth,,,140 m,,
Wind speed at 10 m above MSL,,,,,
1 h mean (m/s),21.6,24.1,24.9 27.2,28.0,
10 min mean (m/s),25.0,27.9,28.9 31.5,32.5,
1 min mean (m/s),29.8,33.2,34.4 37.5,38.6,
3 s gust (m/s),36.0,40.2,41.6 45.4,46.8,
Waves,,,,,"--`,,`,,`,,,,`,```,`,,,````,`,`-`-`,,`,,`,`,,`---"
Significant height (m),5.5,6.3,6.6 7.3,7.6,
Maximum height (m),10.5,11.9,12.5 13.7,14.2,
Mean period (s),8.2,8.8,9.0 9.4,9.6,
Spectral peak period (s),11.6,12.4,12.6 13.3,13.6,
Wave direction (from),,,,,
Extreme,NW,NW,NW NW,NW,
Prevailing,NNE,NNE,NNE NNE,NNE,
Current speed,,,,,
Surface (m/s),1.56,1.66,1.78 1.93,2.05,
