[15],"Forristall G.Z. and Davies A.M. (Eds.), Verification of a Soil-Wave Interaction Model in Modelling"
,"Marine Systems, Vol. II, CRC Press, Florida, 1990"
[16],"Bouws E.H., Gunther H., Rosenthal W. and Vincent C.L., Similarity of the Wind Wave Spectrum"
,"for Finite Depth Water: Part 1 Spectral Form, J. Geophys. Res., 1983, 90 (C1), pp. 975986"
[17],"Reece A.M. and Cardone V.J., Test of Wave Hindcast Model Results against Measurements"
,"during Four Different Meteorological Systems, Proc. of the 14th Offshore Technology Conference,"
,"OTC 4323, Houston, May 1982"
[18],"Recommended Standard for Wave Data Sampling and Near Real-Time Processing, E & P Forum,"
,"Report 3.4/186, 1992"
[19],"Goda Y., Random Seas and Design of Maritime Structures, University of Tokyo Press, Tokyo,"
,1985
[20],"Ochi M.K. and Hubble E.N., Six-Parameter Wave Spectrum, Coastal Engineering, Chapter 18,"
,"1976, pp. 30128"
[21],"Torsethaugen K., A Two Peak Wave Spectral Model, Proceedings OMAE, Glasgow, 1993"
[22],"Kirby J.T. and Chen T.S., Surface Waves on Vertically Sheared Flows: Approximate Dispersion"
,"Relations, J. Geophys. Res., 1989, January 15, 94 (no. C1), pp. 10131027"
[23],"Haring R.E., Osborne A.R. and Spencer L.P., Extreme Wave Parameters Based on Continental"
,"Shelf Storm Wave Records, Coastal Engineering, Chapter 10, 1976, pp. 151170"
[24],"Fenton J.D., A Fifth Order Stokes Theory for Steady Waves, J. Waterw., Port, Coast., Ocean"
,"Eng., 1985, 1111, pp. 216233"
[25],"Chappelear J.E., Direct Numerical Calculation of Wave Properties, J. Geophys. Res., 1961, 66 (2)"
[26],"Lambrakos K.F., Extended Velocity Potential Wave Kinematics, J. Waterw., Port, Coast., Ocean"
,"Div., Vol. 17, no. WW3, August 1981"
[27],"Dean R.G., Stream Function Representation of Non-linear Ocean Waves, J. Geophys. Res.,"
