[214],"Zenkevitch L., Biology of the Seas of the USSR, The Caspian Sea, Chapter 11, Wiley and Sons,"
,"New York, 1963"
[215],"Graham C., Cardone V.J., Ceccacci E.A., Parsons M.J., Cooper C. and Stear J., Challenges to"
,"Wave Hindcasting in the Caspian Sea, 7th Int. Workshop on Wave Hindcasting and Forecasting,"
,"Banff, October  2125, 2002"
[216],"Kara B., Wallcraft A. and Metzger J., HYCOM Caspian Sea Modeling. Part I: An Overview of the"
,"Model and Coastal Upwelling, Naval Research Laboratory, Stennis Space Center, United States,"
,"and Gunduz M., Institute of Marine Sciences, Erdemli, Icel, April 2007"
[217],"Kravets L.M., Sea Ice Conditions in the Caspian Sea during Severe Winters and Their Influence"
,"on Fleet Operations, Problems of the Arctic and Antarctic, 1977, 50, pp. 136137"
[218],"Energy Information Administration, Caspian Sea Region, US Department of Energy, 2001 [online]"
[219],"The Azerbaijan International Operating Company (AIOC), Azerbaijan International, 1995 [online]"
[220],"Eni (2008), Eni in Kazakhstan [online], EniComunicazione, Italy"
[221],"Ochi M., Hatanaka M., Oikawa N. and Hoshi T., Generation of Bathymetric Map in the North"
,"Caspian Sea Using Multi-Temporal Satellite Images, 1998 [online], Republic of Kazakhstan, GIS"
,"Development, Noida, India"
[222],"Geology Institute of the Azerbaijan National Academy of Sciences, The Caspian Sea, 1999 [online],"
,"Penki Kontinentai, Baku, Azerbaijan"
[223],"Evers K., Spring W., Foulkes K., Kuehnlein W. and Jochmann P., Ice Model Testing of an"
,"Exploration Platform for Shallow Waters in the Caspian Sea, 16th POAC Conference, Ottawa, 2001"
[224],"Dotsenko S.F., Kuzin I.P., Levin B.V. and Solovieva O.N., Tsunamis in the Caspian Sea: Historical"
