Return Period (years) Metocean Parameter,Unnamed: 1
1 5 10 50,100
Nominal water depth 200 m,
Wind speed at 10 m above MSL (m/s),
10 min mean 20 20 26 29,31
3 s gust 25 27 32 36,39
Wave height (m),
Maximum 12.7 13.7 16.0 19.0,20.0
Significant 6.8 7.4 8.7 10.0,10.6
Wave direction (from) SSE/SW,
Spectral peak period (s),
For swell 11 to 14 12 to 15 13 to 16 14 to 17,14 to 17
For wind-seas 7 to 8 7 to 8 7 to 8 7 to 8,7 to 8
Current speed (m/s),
Surface a  1.1 1.2 1.2 1.3,1.4
Mid-depth b  0.3 0.3 0.3 0.3,0.5
1 m above sea floor 0.3 0.3 0.3 0.4,0.5
a These extreme values exclude any effect from river plumes.,
b Mid-depth currents off southern Namibia are below the seasonal thermocline where currents can be stronger.,
