strut,location,total_damage_rate_miners_rule,fatigue_life_years
1,loc02,0.0000078288,127732.9917082036
1,loc03,0.0000013035,767171.6525678582
1,loc05,0.0001248172,8011.7172928237
1,loc06,0.0001914313,5223.8052073139
1,loc07,0.0001263843,7912.3721775006
1,loc09,0.0005596585,1786.8037835138
1,loc10,0.0002752324,3633.2931436143
2,loc02,0.0000058456,171068.8796300021
2,loc03,0.0000018756,533150.9155515404
2,loc05,0.0000682655,14648.6914311708
2,loc06,0.0000952272,10501.2005728534
2,loc07,0.0000656876,15223.5633784181
2,loc09,0.0002697428,3707.2349749218
2,loc10,0.0001389489,7196.8878013469
3,loc02,0.0000052467,190597.5258115687
3,loc03,0.0000018905,528965.8706062307
3,loc05,0.0000585996,17064.9519153515
3,loc06,0.0000807233,12387.9945507329
3,loc07,0.0000530371,18854.7133616671
3,loc09,0.0002486324,4022.0015926238
3,loc10,0.0001211015,8257.5371314503
4,loc02,0.0000031506,317395.8457584210
4,loc03,0.0000004559,2193373.3815170676
4,loc05,0.0000498663,20053.6034918370
4,loc06,0.0000666468,15004.4788658486
4,loc07,0.0000474642,21068.5065063509
4,loc09,0.0001847681,5412.1899025678
4,loc10,0.0000990098,10100.0146865789
5,loc02,0.0000495375,20186.7221023626
5,loc03,0.0000137603,72673.0321709203
5,loc05,0.0004574635,2185.9668459502
5,loc06,0.0006250255,1599.9348009421
5,loc07,0.0004553585,2196.0718905773
5,loc09,0.0016520419,605.3115220186
5,loc10,0.0009017371,1108.9706728711
6,loc02,0.0000043195,231508.6298617500
6,loc03,0.0000012877,776595.3388540336
6,loc05,0.0000389051,25703.5799190053
6,loc06,0.0000440040,22725.2236450008
6,loc07,0.0000310214,32235.8591798031
6,loc09,0.0001274090,7848.7409404922
6,loc10,0.0000723845,13815.1100779801
7,loc02,0.0000144912,69007.4663533339
7,loc03,0.0000056961,175559.0929878752
7,loc05,0.0001118954,8936.9144887592
7,loc06,0.0001298200,7702.9727474212
7,loc07,0.0000960180,10414.7116988079
7,loc09,0.0003739241,2674.3395843148
7,loc10,0.0002009065,4977.4395421230
8,loc02,0.0000006121,1633719.1582383399
8,loc03,0.0000001741,5744086.4523019549
8,loc05,0.0000062356,160370.3705171203
8,loc06,0.0000028645,349103.6896119528
8,loc07,0.0000026924,371417.3404746490
8,loc09,0.0000122969,81321.0917610730
8,loc10,0.0000089617,111585.4286707376
