,OD,ID,t,Pd,Pa,Pt,Pb
0,14.0,12.0,1.0,4150.625239321783,4669.453394237006,6920.211460535059,6917.708732202972
1,14.0,11.8,1.1,4731.207083092225,5322.607968478754,7674.72524485262,7885.345138487041
2,14.0,11.6,1.2,5321.3289820488735,5986.495104804983,8442.137323585881,8868.881636748123
3,14.0,11.4,1.3,5921.309703649739,6661.473416605957,9222.896366414781,9868.8495060829
4,14.0,11.2,1.4,6531.484263945017,7347.919796938145,10017.474868612468,10885.807106575028
5,14.0,11.0,1.5,7152.205051016242,8046.230682393273,10826.370868429518,11920.341751693737
6,14.0,10.8,1.6,7783.843047220133,8756.82342812265,11650.109822061737,12973.071745366888
7,14.0,10.6,1.7,8426.78916085155,9480.137805957995,12489.246653877844,14044.64860141925
8,14.0,10.4,1.8,9081.45567919505,10216.637639094433,13344.368001940788,15135.759465325085
9,14.0,10.2,1.9,9748.277856490164,10966.812588551435,14216.094681580169,16247.129760816939
10,14.0,10.0,2.0,10427.71565212717,11731.180108643068,15105.084392928133,17379.526086878617
