,OD,ID,t,Pd,Pa,Pt,Pb
0,12.0,10.0,1.0,5710.174405818525,6423.946206545841,8184.872932393076,9516.957343030876
1,12.2,10.0,1.1,6303.807933354538,7091.783925023856,8926.91484181309,10506.346555590897
2,12.4,10.0,1.2,6887.788454321483,7748.762011111669,9656.890493021769,11479.647423869139
3,12.6,10.0,1.3,7462.424885025226,8395.22799565338,10375.186031401456,12437.374808375378
4,12.8,10.0,1.4,8028.011546064365,9031.512989322411,11082.169357700368,13380.019243440609
5,13.0,10.0,1.5,8584.829067583913,9657.932701031901,11778.191259599807,14308.048445973187
6,13.2,10.0,1.6,9133.145225417415,10274.788378594592,12463.586456891688,15221.908709029025
7,13.4,10.0,1.7,9673.215714353728,10882.367678647945,13138.674568062073,16122.026190589548
8,13.6,10.0,1.8,10205.284864118245,11480.945472133026,13803.76100526772,17008.80810686374
9,13.8,10.0,1.9,10729.58630308705,12070.784590972931,14459.13780397873,17882.643838478416
10,14.0,10.0,2.0,11246.343574246577,12652.136521027402,15105.084392928133,18743.90595707763
