contractor,primary_index,secondary_index,vessel_name,year_built,upgrade_year,home_port,station_keeping,vessel_role,length_ft,beam_ft,depth_ft,draft_ft,crew_capacity,spec_notes
"ALLSEAS GROUP, S.A.",1,2.0,SOLITAIRE,1998,,Varies,DP,pipelay vessel,984.0,131.0,79.0,28.0,420.0,"H DP3 17 7 H H 3 2,316 H H H 2 2"" 60"" H 42' 50' >10,000' 9,100'"
"ALLSEAS GROUP, S.A.",2,2.0,AUDACIA,2007,,Varies,DP,pipelay vessel,738.0,106.0,63.0,27.0,270.0,"H DP3 11 7 H H 3 1,157 H H H 2 2"" 60"" H 42' 40' >10,000' 3,500' (Lay Only 40' - >10,000') (S-Lay 2"" - 60"" Rigid Pipe)"
"ALLSEAS GROUP, S.A.",3,2.0,LORELAY,Varies,,,DP,pipelay vessel,599.0,85.0,51.0,22.0,230.0,"H DP2 7 6 H H 3 363 H H H 2 2"" 28"" H 42' 35' >10,000' 5,410' (Lay Only 35' - >10,000') (S-Lay 2"" - 36"" Rigid Pipe)"
"ALLSEAS GROUP, S.A.",2,,CALAMITY JANE,Varies,,Bury vessel 427' 85 33' 15' 72 H,DP2,H,4.0,48.0,30.0,2500.0,,"1345' (Bury Only 30' - 2,500') (Bury Only 4"" - 42"")"
CHET MORRISON CONTRACTORS,7,1.0,CM,11,,"Houma, LA Lay/Bury Barge 195' 46' 13' 5' 50 H",Anchors,& Spuds,4.0,2.0,,1.0,50.0,"H H H H H H H 3 1"" 30"" H H H H H H H 2"" 48"" 40 7' 100' 200' 60' (Lay 7' - 100'; Bury 7' - 100') (Lay 1"" - 30"" and Bury 2"" - 30"")"
CNOOC,10,6.0,HAI YANG SHI YOU,201,2012.0,"Tanggu,Tianjin,P.R.C.",,Pipe laying crane vessel,669.0,128.0,46.0,23.0,380.0,"H DP3 6 3 2 800 H 6"" 60"" H H 49' 6,562'"
EMAS AMC,11,6.0,LEWEK CHAMPION,2007,,Asia,DP2,Pipe Lay Barge,466.0,131.0,33.0,21.0,358.0,"• DP2 9 5 H H 2 441 H H H 2 6"" 60"" H H H 39' H 28' 4,920' 476' (Lay >20' - 2000') (Lay 4"" - 60"" rigid)"
"HEEREMA MARINE CONTRACTORS U.S., INC.",7,,DCV BALDER,1978,2002.0,"Fourchon, LA",DP,Pipelay/Inst. Vessel,505.0,282.0,138.0,36.0,400.0,"• DP3 5 3 H H 2,300 H H H H 2 6"" 32"" H 236' 300' 10,000' 10,000' (J-Lay 50' - 10,000') (J-Lay 6"" - 32"")"
McDERMOTT,19,,DERRICK BARGE,50,,"(DB50) 1988 Morgan City, LA",,DP Derrick/Lay Barge,497.0,151.0,41.0,31.0,320.0,"H DP2/8-Pt. 8 N/A H H N/A 775/200 H H H H H H H 2+ 2"" 20"" H H H H 165' H 400' >10,000' 4,400'"
McDERMOTT,20,,DERRICK BARGE,16,,"(DB16) 1967 1999 Morgan City, LA",,DP Derrick/Lay Barge,400.0,100.0,28.5,16.0,184.0,"H DP2/8-Pt. 8 5 H H 3 300/100 H H H H H H H 2+ 2""/4"" 10""/48"" H H H H 42' H 20' >10,000' 3,500' (S-Lay or Reel Lay 20' - >10,000') (Reel Lay Rigid Pipe 2"" - 10""; S-Lay 4"" - 48"")"
McDERMOTT,21,,DERRICK BARGE,27,,"(DB27) 1974 Dubai, UAE",,Derrick/Lay Barge,420.0,128.0,28.0,15.5,270.0,"H 12-pt 12 5 H H 2 540 H H H H H H 2+ 4"" 72"" H H 42' 20' case by case 3,000'"
McDERMOTT,22,,DERRICK BARGE,30,,"(DB30) 1975 Batam Island, Indonesia",,Derrick/Lay Barge,420.0,158.0,28.0,12.0,303.0,"H 12-pt 12 5 H H 2 550 H H H 2+ 4"" 60"" H H 40' 20' case by case 3,000' S-Lay 4"" - 60"" >1,000' (S-Lay 4"" - 60"")"
McDERMOTT,23,,DERRICK BARGE KP1 (KP1),1974,,"Batam Island, Indonesia",,Derrick/Lay Barge,456.0,99.0,30.0,11.8,295.0,"H 10-pt 10 5 H H 2 300 H H H 2+ 4"" 60"" H H 40'/60' 20' case by case 2,600'"
McDERMOTT,24,,DERRICK BARGE,32,,"(DB32) 2010 Dubai, UAE",,Derrick/Lay Barge,456.0,120.0,29.5,15.7,292.0,"H 10-pt 10 6 H H 2 240 H H H 2+ 6"" 60"" H H 42' 10' case by case 2,600'"
McDERMOTT,25,,AGILE,1978,,"Dartmouth, Nova Scotia",,DP SCV Vessel,441.0,64.6,43.5,27.8,199.0,"H DP2 H H H H 2"" 8"" H H 6"" 40"" 25' 3,000' 3,000'"
McDERMOTT,26,,NORTH OCEAN,102,,(NO102) 2009,,DP SCVessel,451.0,89.0,32.0,22.5,199.0,"H DP2 2 240 H H 4"" 16"" H H 600'"
McDERMOTT,27,,LAY VESSEL NORTH OCEAN,105,,(LVNO105) 2012,,Global Varies DP Reel Vessel,451.0,99.0,43.5,22.5,129.0,"H DP2 2 1 H H 1 992 H H H H H H 4"" 16"" H H NA H 30 9,800' varies 4,600'"
SAIPEM AMERICA INC.,30,3.0,SAIPEM,3000,1976.0,2003 Project Driven Heavy Lift,DP,Vessel,531.5,126.7,29.5,22.0,195.0,"H DP3 H H H H H H H H H H H H 52' 10,000' 5,000' (Lay Only 40' - 10,000') (Lay Only 6"" - 60"")"
SAIPEM AMERICA INC.,36,3.0,SAIPEM FDS Project Driven Field Development Ship 536' 99' 41' 24.3'/26.2',236,,H,DP-Class,III,,,,,3.0,"1,210/1,650 H H H H H H 2 4"" 20"" H H H H H H 168' H 10,000' 52' 10,000' (Lay Only 50' - 10,000') (Lay Only 4"" - 20"")"
SAIPEM AMERICA INC.,3,,SAIPEM FDS,2,,Project Driven Field Development Ship 600.4' 105.6' 47.6' 26.24'/31.16' 325 H,DP-Class,III,,,,,,"3306/4400 H H H H H 4"" 36"" H H H H H H 168' H 52' 10,000' (Lay Only 50' - 10,000') (Lay Only 4"" - 32"")"
SEA TRUCKS GROUP,41,,JASCON,25,2009.0,worldwide,DP,Lay Crane Accom,390.0,100.0,27.0,16.0,355.0,"H DP3 6 3+1 H H 2 265 H H H H H H H 4"" 60"" H H H H Shallow / medium"
SEA TRUCKS GROUP,42,,JASCON,30,2007.0,worldwide,DP,Lay Crane Accom,365.0,100.0,20.0,15.0,298.0,"H DP 3/10-Point 6 3+1 H H 3 220 H H H H H H H 4"" 60"" H H H H"
SEA TRUCKS GROUP,43,,JASCON,34,2010.0,worldwide,DP,Lay Crane Accom,390.0,100.0,27.0,16.0,355.0,"H DP3 6 3+1 H H 2 265 H H H H H H H 4"" 60"" H H H H Shallow / medium"
SEA TRUCKS GROUP,44,,JASCON,2,2009.0,West Africa,DP,Lay Accom,260.0,116.0,14.0,10.0,220.0,"H 8-Point 5 3+1 H H 1 55 H H H H H H H 4"" 32"" H H H H Shallow"
SUBSEA 7,46,,SEVEN OCEANS,2007,,"Project Driven 2,900'",DP,Pipelay Vessel,516.0,93.0,41.0,24.0,120.0,"H DP2 1 800 H H 6"" 16"" H H 9,842'"
SUBSEA 7,47,,SEVEN,NAVICA,1999.0,"Project Driven 2,900'",DP,Pipelay Vessel,356.0,72.0,29.0,24.6,72.0,"H DP2 1 1 H H 1 500 H H H H H H 2 2"" 19"" H 42' H 30' 9,500'+ 6,600' (Lay Only 30' - >9,500') (Reel Lay 16"" Rigid, 19"" Flexible)"
SUBSEA 7,48,,KOMMANDOR,3000,1984.0,"1999 Project Driven 2,900'",DP,Pipelay Vessel,388.0,69.0,33.0,16.0,73.0,"H DP2 6 440 H H H H 3 2.5"" 12"" H H H H 30' 3,280' 3,280'"
SUBSEA 7,49,,LOCHNAGAR,1982,1998.0,"Project Driven 2,900'",DP,Pipelay Vessel,349.0,75.0,32.0,19.0,73.0,"H DP2 6 510 H H H H 3 2.5"" 16"" H H H H 30' 6,560' 4,920'"
SUBSEA 7,50,,SKANDI NEPTUNE,2001,2005.0,"Project Driven 2,900'",DP,Multi-Purpose Vessel,342.0,79.0,34.0,18.0,106.0,"H DP2 2 200 H H 3 16 8,842"
SUBSEA 7,51,,ACERGY DISCOVERY,1990,,Project Driven Flexible Pipelay/Construction Ship 409' 64' 21' 97 H,DP2,H H,,,,,,
