,OD,ID,t,Pd,Pa,Pt,Pb
0,16.0,14.0,1.0,4507.06367641677,5070.446635968868,6440.0521520399425,7511.772794027951
1,16.0,13.8,1.1,5052.955634929344,5684.575089295513,7134.002973432896,8421.59272488224
2,16.0,13.6,1.2,5606.68213083375,6307.517397187969,7838.084821015813,9344.47021805625
3,16.0,13.4,1.3,6168.471322159817,6939.530237429794,8552.597889575909,10280.785536933028
4,16.0,13.2,1.4,6738.561481045444,7580.881666176126,9277.855917520998,11230.935801742407
5,16.0,13.0,1.5,7317.201600516967,8231.85180058159,10014.18701404876,12195.336000861613
6,16.0,12.8,1.6,7904.65204746689,8892.733553400252,10761.934550445194,13174.420079111484
7,16.0,12.6,1.7,8501.185266114922,9563.833424379289,11521.458121572334,14168.642110191538
8,16.0,12.4,1.8,9107.08653670968,10245.47235379839,12293.134584284508,15178.477561182799
9,16.0,12.2,1.9,9722.654794759632,10937.986644104587,13077.359180279389,16204.424657932721
10,16.0,12.0,2.0,10348.203516682222,11641.728956267501,13874.546751758826,17247.005861137037
