,OD,ID,t,Pd,Pa,Pt,Pb
0,11.75,9.75,1.0,6276.262985368865,7060.795858539974,8998.8074051988,10460.438308948109
1,11.75,9.55,1.1,7056.847974505617,7938.95397131882,9998.402772376197,11761.413290842695
2,11.75,9.35,1.2,7853.5518961378175,8835.245883155047,11019.155160154467,13089.253160229697
3,11.75,9.15,1.3,8667.054517817858,9750.43633254509,12061.979571429421,14445.090863029764
4,11.75,8.95,1.4,9498.079535771783,10685.339477743259,13127.851681837798,15830.13255961964
5,11.75,8.75,1.5,10347.398443459891,11640.823248892379,14217.813325416424,17245.664072433152
6,11.75,8.55,1.6,11215.834835596366,12617.814190045914,15332.97861460245,18693.05805932728
7,11.75,8.35,1.7,12104.269207805648,13617.302858781357,16474.54078468553,20173.782013009415
8,11.75,8.15,1.8,13013.644322024333,14640.349862277375,17643.779868120964,21689.40720337389
9,11.75,7.95,1.9,13944.971219607489,15688.092622058426,18842.07132245111,23241.618699345814
10,11.75,7.75,2.0,14899.335978293606,16761.752975580308,20070.89575766099,24832.226630489346
