,OD,ID,t,Pd,Pa,Pt,Pb
0,11.75,9.75,1.0,5375.035550757343,6046.914994602012,8998.8074051988,8958.392584595573
1,11.75,9.55,1.1,6137.419572842817,6904.597019448169,9998.402772376197,10229.032621404695
2,11.75,9.35,1.2,6915.172172721706,7779.56869431192,11019.155160154467,11525.286954536177
3,11.75,9.15,1.3,7708.92573762385,8672.541454826833,12061.979571429421,12848.209562706417
4,11.75,8.95,1.4,8519.352508430195,9584.27157198397,13127.851681837798,14198.920847383659
5,11.75,8.75,1.5,9347.168000482554,10515.564000542876,14217.813325416424,15578.613334137592
6,11.75,8.55,1.6,10193.134799485733,11467.276649421452,15332.97861460245,16988.55799914289
7,11.75,8.35,1.7,11058.066782964988,12440.325130835614,16474.54078468553,18430.11130494165
8,11.75,8.15,1.8,11942.833825845179,13435.688054075827,17643.779868120964,19904.723043075297
9,11.75,7.95,1.9,12848.367058342212,14454.412940634991,18842.07132245111,21413.94509723702
10,11.75,7.75,2.0,13775.664755833031,15497.622850312162,20070.89575766099,22959.44125972172
