x_m,weight_per_m_t,buoyancy_per_m_t,shear_force_t,bending_moment_t_m,wave_hogging_t_m,wave_sagging_t_m,wave_shear_positive_t,wave_shear_negative_t,total_hogging_t_m,total_sagging_t_m,total_shear_positive_t,total_shear_negative_t
0.0,0.0,100.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.25,0.0,100.0,-25.0,-3.125,172.60307870392475,-177.64995235023832,8.666491425449696,-8.914797608848325,169.47807870392475,-180.77495235023832,-16.333508574550304,-33.914797608848325
0.5,0.0,100.0,-50.0,-12.5,345.2061574078495,-355.29990470047665,17.33298285089939,-17.82959521769665,332.7061574078495,-367.79990470047665,-32.66701714910061,-67.82959521769665
0.75,0.0,100.0,-75.0,-28.125,517.8092361117742,-532.9498570507151,25.999474276349087,-26.744392826544967,489.6842361117742,-561.0748570507151,-49.00052572365091,-101.74439282654497
1.0,0.0,100.0,-100.0,-50.0,690.412314815699,-710.5998094009533,34.66596570179878,-35.6591904353933,640.412314815699,-760.5998094009533,-65.33403429820122,-135.6591904353933
1.25,0.0,100.0,-125.0,-78.125,863.0153935196238,-888.2497617511917,43.33245712724848,-44.57398804424162,784.8903935196238,-966.3747617511917,-81.66754287275151,-169.57398804424162
1.5,0.0,100.0,-150.0,-112.5,1035.6184722235485,-1065.8997141014302,51.998948552698174,-53.488785653089934,923.1184722235485,-1178.3997141014302,-98.00105144730182,-203.48878565308993
1.75,0.0,100.0,-175.0,-153.125,1208.2215509274733,-1243.5496664516684,60.665439978147866,-62.40358326193827,1055.0965509274733,-1396.6746664516684,-114.33456002185213,-237.40358326193828
2.0,0.0,100.0,-200.0,-200.0,1380.824629631398,-1421.1996188019066,69.33193140359757,-71.3183808707866,1180.824629631398,-1621.1996188019066,-130.66806859640243,-271.3183808707866
2.25,0.0,100.0,-225.0,-253.125,1553.4277083353227,-1598.8495711521448,77.99842282904726,-80.23317847963492,1300.3027083353227,-1851.9745711521448,-147.00157717095274,-305.23317847963494
2.5,0.0,100.0,-250.0,-312.5,1726.0307870392476,-1776.4995235023835,86.66491425449696,-89.14797608848323,1413.5307870392476,-2088.9995235023835,-163.33508574550302,-339.14797608848323
2.75,0.0,100.0,-275.0,-378.125,1898.6338657431722,-1954.1494758526214,95.33140567994664,-98.06277369733155,1520.5088657431722,-2332.2744758526214,-179.66859432005336,-373.0627736973315
3.0,0.0,100.0,-300.0,-450.0,2071.236944447097,-2131.7994282028603,103.99789710539635,-106.97757130617987,1621.236944447097,-2581.7994282028603,-196.00210289460364,-406.97757130617987
3.25,0.0,100.0,-325.0,-528.125,2243.840023151022,-2309.4493805530988,112.66438853084603,-115.89236891502819,1715.7150231510218,-2837.5743805530988,-212.33561146915397,-440.8923689150282
3.5,0.0,100.0,-350.0,-612.5,2416.4431018549467,-2487.0993329033367,121.33087995629573,-124.80716652387655,1803.9431018549467,-3099.5993329033367,-228.66912004370425,-474.80716652387656
3.75,0.0,100.0,-375.0,-703.125,2589.046180558871,-2664.7492852535747,129.9973713817454,-133.72196413272488,1885.9211805588711,-3367.8742852535747,-245.0026286182546,-508.7219641327249
4.0,0.0,100.0,-400.0,-800.0,2761.649259262796,-2842.399237603813,138.66386280719513,-142.6367617415732,1961.649259262796,-3642.399237603813,-261.33613719280487,-542.6367617415732
4.25,0.0,100.0,-425.0,-903.125,2934.252337966721,-3020.0491899540516,147.33035423264482,-151.5515593504215,2031.127337966721,-3923.1741899540516,-277.6696457673552,-576.5515593504215
4.5,0.0,100.0,-450.0,-1012.5,3106.8554166706454,-3197.6991423042896,155.99684565809451,-160.46635695926983,2094.3554166706454,-4210.199142304289,-294.0031543419055,-610.4663569592699
4.75,0.0,100.0,-475.0,-1128.125,3279.4584953745702,-3375.349094654528,164.6633370835442,-169.38115456811815,2151.3334953745702,-4503.474094654528,-310.3366629164558,-644.3811545681182
5.0,0.0,100.0,-500.0,-1250.0,3452.061574078495,-3552.999047004767,173.32982850899393,-178.29595217696647,2202.061574078495,-4802.999047004767,-326.67017149100604,-678.2959521769665
5.25,0.0,100.0,-525.0,-1378.125,3624.664652782419,-3730.648999355005,181.9963199344436,-187.21074978581478,2246.539652782419,-5108.773999355005,-343.0036800655564,-712.2107497858148
5.5,0.0,100.0,-550.0,-1512.5,3797.2677314863445,-3908.298951705243,190.66281135989328,-196.1255473946631,2284.7677314863445,-5420.798951705243,-359.3371886401067,-746.125547394663
5.75,0.0,100.0,-575.0,-1653.125,3969.870810190269,-4085.9489040554818,199.32930278534297,-205.04034500351148,2316.745810190269,-5739.073904055482,-375.670697214657,-780.0403450035114
6.0,0.0,100.0,-600.0,-1800.0,4142.473888894194,-4263.598856405721,207.9957942107927,-213.95514261235974,2342.473888894194,-6063.598856405721,-392.0042057892073,-813.9551426123597
6.25,0.0,100.0,-625.0,-1953.125,4315.076967598119,-4441.248808755959,216.6622856362424,-222.86994022120805,2361.951967598119,-6394.373808755959,-408.33771436375764,-847.869940221208
6.5,0.0,100.0,-650.0,-2112.5,4487.680046302044,-4618.8987611061975,225.32877706169205,-231.78473783005637,2375.1800463020436,-6731.3987611061975,-424.67122293830795,-881.7847378300564
