contractor,primary_index,secondary_index,vessel_name,year_built,upgrade_year,home_port,station_keeping,vessel_role,length_ft,beam_ft,depth_ft,draft_ft,crew_capacity,spec_notes
"ALLSEAS GROUP, S.A.",1,2.0,SOLITAIRE,1998,,Varies,DP,pipelay vessel,984.0,131.0,79.0,28.0,420.0,"H DP3 17 7 H H 3 2,316 H H H 2 2"" 60"" H 42' 50' >10,000' 9,100'"
"ALLSEAS GROUP, S.A.",2,2.0,AUDACIA,2007,,Varies,DP,pipelay vessel,738.0,106.0,63.0,27.0,270.0,"H DP3 11 7 H H 3 1,157 H H H 2 2"" 60"" H 42' 40' >10,000' 3,500' (Lay Only 40' - >10,000') (S-Lay 2"" - 60"" Rigid Pipe)"
"ALLSEAS GROUP, S.A.",3,2.0,LORELAY,Varies,,,DP,pipelay vessel,599.0,85.0,51.0,22.0,230.0,"H DP2 7 6 H H 3 363 H H H 2 2"" 28"" H 42' 35' >10,000' 5,410' (Lay Only 35' - >10,000') (S-Lay 2"" - 36"" Rigid Pipe)"
"ALLSEAS GROUP, S.A.",1455,,"West Loop South, Suite 400; Houston, TX",77027,,,,,,,,,,
"ALLSEAS GROUP, S.A.",2,,CALAMITY JANE,Varies,,Bury vessel 427' 85 33' 15' 72 H,DP2,H,4.0,48.0,30.0,2500.0,,"1345' (Bury Only 30' - 2,500') (Bury Only 4"" - 42"")"
0 ASCOT CONSTRUCTORS OFFSHORE LTD.,4,,ASCOT FORCADOS,1,,"Choba, Portharcourt Derrick/pipe Lay Barge 300' 90' 20' 10'/12' 152 H",Anchors,,6.0,4.0,,,1.0,"100 H H H H H 4"" 24"" H H H H H H 4"" 24"" 40' 15' 200' 100' 90' 100' (24"")"
0 ASCOT CONSTRUCTORS OFFSHORE LTD.,4,,ASCOT ESCRAVOS,1,,"Choba, Portharcourt Pipe Lay Barge 200' 54' 14' 8'/12' 120 H",Anchors,,6.0,5.0,,1.0,40.0,"H H H H H 4"" 16"" H H H H H H 4"" 16"" 40' 12' 100' 40' 60'"
CAL DIVE,5,,Pipelay/Bury 260' 72' 16' 7',88,7.0,"Point 3 3 2"" 36"" 48"" 10'",,,,,,,,
CAL DIVE,6,,LONE STAR Pipelay/Bury 313' 90' 18' 12',165,,"H 8 Point 4 4 H H H H H 2"" 36"" H H H H H H 48"" 15' (Burial up to 16' of cover/Pipelay up to 800')",,,,,,,,
CHET MORRISON CONTRACTORS,7,1.0,CM,11,,"Houma, LA Lay/Bury Barge 195' 46' 13' 5' 50 H",Anchors,& Spuds,4.0,2.0,,1.0,50.0,"H H H H H H H 3 1"" 30"" H H H H H H H 2"" 48"" 40 7' 100' 200' 60' (Lay 7' - 100'; Bury 7' - 100') (Lay 1"" - 30"" and Bury 2"" - 30"")"
CHET MORRISON CONTRACTORS,8,1.0,CM,9,,"Houma, LA Lay/Bury Barge 180' 54' 12' 5' 44 H",Anchors,,4.0,2.0,,1.0,40.0,"H H H H H H H 3 1"" 30"" H H H H H H H 2"" 48"" 40 7' 250' 200' 210'"
CHET MORRISON CONTRACTORS,9,1.0,CM,15,,"Houma, LA Lay/Bury Barge 220' 60' 14' 8' 65 H",Anchors,,5.0,3.0,,1.0,80.0,"H H H H H H H 3 1"" 30"" H H H H H H H H 2"" 48"" 40 8' 400' 200' 400' (Lay 8' - 400'; Bury 8' - 200') (Lay 1"" - 30"" and Bury 2"" - 30"")"
CNOOC,10,6.0,HAI YANG SHI YOU,201,2012.0,"Tanggu,Tianjin,P.R.C.",,Pipe laying crane vessel,669.0,128.0,46.0,23.0,380.0,"H DP3 6 3 2 800 H 6"" 60"" H H 49' 6,562'"
CNOOC,6,,LANJIANG Heavy derrick/lay barge 517' 157' 41' 26' 26' 26' - 492',,,,,,,,,,,
CNOOC,6,,BH109 Lift/pipe laying barge 307' 93' 22' 14',,,,,,,,,,,
CNOOC,6,,BH106 Lift/pipe laying barge 262' 75' 16' 673',,,,,,,,,,,
EMAS AMC,11,6.0,LEWEK CHAMPION,2007,,Asia,DP2,Pipe Lay Barge,466.0,131.0,33.0,21.0,358.0,"• DP2 9 5 H H 2 441 H H H 2 6"" 60"" H H H 39' H 28' 4,920' 476' (Lay >20' - 2000') (Lay 4"" - 60"" rigid)"
EMAS AMC,12,,"LEWEK CONSTELLATION Ingleside, TX or As Required 5,280'",DP3,,Multi-Lay Vessel w/heavy lift capabilities 587' 151' 51' 28'/35' 239 •,DP3,,1.0,1.0,,,2.0,"1,764 H H H H H H H 2 4"" 16"" rigid/24"" H H 39' 16,400' (Lay >160' - 10,000') (Lay 4""-16"" Rigid, Lay 4""-24"" flexible)"
EMAS AMC,13,,"LEWEK EXPRESS Ingleside, TX or As Required 5,280'",DP,,MSV 531' 114' 32' 20' 132 •,DP2,,1.0,1.0,,,2.0,"485 H H H H H H H 2 2"" 14"" H H H 36' 9,840' 8,230'"
EMAS AMC,14,,"LEWEK CENTURION Ingleside, TX or As Required",DP,,PLV 480' 98' 56' 19'/25' 220 •,DP2,,9.0,7.0,,,3.0,"893 H H H 2 4"" 36"" H H H H 43' 39' 8,200' 450' (Lay >50' - 8,200') (Lay 4"" - 36"" rigid)"
"HEEREMA MARINE CONTRACTORS U.S., INC.",7,,DCV BALDER,1978,2002.0,"Fourchon, LA",DP,Pipelay/Inst. Vessel,505.0,282.0,138.0,36.0,400.0,"• DP3 5 3 H H 2,300 H H H H 2 6"" 32"" H 236' 300' 10,000' 10,000' (J-Lay 50' - 10,000') (J-Lay 6"" - 32"")"
"HEEREMA MARINE CONTRACTORS U.S., INC.",15,7.0,"DCV AEGIR Fourchon, LA",DP,,RJ-Lay/Deep Sea Construction 689' 152' 52' 26'/30' 305 •,DP3,,5.0,3.0,,,4400.0,"H H H H 2 6"" 32"" H H 157' H 300' 11,500' (R-Lay or J-Lay 300'-11,500') (R-Lay 6"" - 16""/J-Lay 6"" - 32"")"
LEIGHTON INTERNATIONAL,16,6.0,STEALTH,2006,,"Singapore A1 Barge: Accomodation, Pipelay, Work Barge 330' 100' 20' 15' 232 H",Anchored,,7.0,5.0,,,2.0,"220 H H H H 8"" 60"" H H H H H H 40' 8.2' 328' N/A (0 to 150 mtrs) (6"" to 60"")"
LEIGHTON INTERNATIONAL,17,6.0,ECLIPSE,2008,,"Singapore A1, Pipe lay/Accommodation/Work Barge 427' 105' 28' 19' 260 H",Anchored,,8.0,4.0,,,2.0,"264 H H H H 6"" 60"" H H H H H H 40' 11.48' 492' N/A (0 to 150 mtrs) (6"" to 60"")"
LEIGHTON INTERNATIONAL,18,6.0,FAULKNER,2008,,"Funafuti, Tuvalu A1 Barge 250' 80' 16' 11' 32 9 point 6 4 H H 2 120 H H H H 8"" 32""",,,,,,,,
McDERMOTT,19,,DERRICK BARGE,50,,"(DB50) 1988 Morgan City, LA",,DP Derrick/Lay Barge,497.0,151.0,41.0,31.0,320.0,"H DP2/8-Pt. 8 N/A H H N/A 775/200 H H H H H H H 2+ 2"" 20"" H H H H 165' H 400' >10,000' 4,400'"
McDERMOTT,20,,DERRICK BARGE,16,,"(DB16) 1967 1999 Morgan City, LA",,DP Derrick/Lay Barge,400.0,100.0,28.5,16.0,184.0,"H DP2/8-Pt. 8 5 H H 3 300/100 H H H H H H H 2+ 2""/4"" 10""/48"" H H H H 42' H 20' >10,000' 3,500' (S-Lay or Reel Lay 20' - >10,000') (Reel Lay Rigid Pipe 2"" - 10""; S-Lay 4"" - 48"")"
McDERMOTT,21,,DERRICK BARGE,27,,"(DB27) 1974 Dubai, UAE",,Derrick/Lay Barge,420.0,128.0,28.0,15.5,270.0,"H 12-pt 12 5 H H 2 540 H H H H H H 2+ 4"" 72"" H H 42' 20' case by case 3,000'"
McDERMOTT,22,,DERRICK BARGE,30,,"(DB30) 1975 Batam Island, Indonesia",,Derrick/Lay Barge,420.0,158.0,28.0,12.0,303.0,"H 12-pt 12 5 H H 2 550 H H H 2+ 4"" 60"" H H 40' 20' case by case 3,000' S-Lay 4"" - 60"" >1,000' (S-Lay 4"" - 60"")"
McDERMOTT,23,,DERRICK BARGE KP1 (KP1),1974,,"Batam Island, Indonesia",,Derrick/Lay Barge,456.0,99.0,30.0,11.8,295.0,"H 10-pt 10 5 H H 2 300 H H H 2+ 4"" 60"" H H 40'/60' 20' case by case 2,600'"
McDERMOTT,24,,DERRICK BARGE,32,,"(DB32) 2010 Dubai, UAE",,Derrick/Lay Barge,456.0,120.0,29.5,15.7,292.0,"H 10-pt 10 6 H H 2 240 H H H 2+ 6"" 60"" H H 42' 10' case by case 2,600'"
McDERMOTT,25,,AGILE,1978,,"Dartmouth, Nova Scotia",,DP SCV Vessel,441.0,64.6,43.5,27.8,199.0,"H DP2 H H H H 2"" 8"" H H 6"" 40"" 25' 3,000' 3,000'"
McDERMOTT,26,,NORTH OCEAN,102,,(NO102) 2009,,DP SCVessel,451.0,89.0,32.0,22.5,199.0,"H DP2 2 240 H H 4"" 16"" H H 600'"
