grade,fy,thickness_mm,spacing_mm,profile,web_height_mm,web_thickness_mm,flange_width_mm,flange_thickness_mm,web_slenderness,plate_length_mm,sigma_x,tau,utilization,governing_mode,plate_util,column_util,torsional_util,critical_stress_mpa,status
Grade A,235.0,8.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,100.0,0.0,0.8797,plate_induced,0.8797,0.5041,0.6475,130.72,PASS
Grade A,235.0,8.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,150.0,0.0,1.3196,plate_induced,1.3196,0.7561,1.0984,130.72,FAIL
Grade A,235.0,8.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,200.0,0.0,1.7595,plate_induced,1.7595,1.0081,1.4646,130.72,FAIL
Grade A,235.0,8.0,600.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,120.0,40.0,1.1379,plate_induced,1.1379,0.6049,0.8787,130.72,FAIL
Grade A,235.0,8.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,100.0,0.0,0.8797,plate_induced,0.8797,0.4894,0.6028,130.72,PASS
Grade A,235.0,8.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,150.0,0.0,1.3196,plate_induced,1.3196,0.734,0.9489,130.72,FAIL
Grade A,235.0,8.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,200.0,0.0,1.7595,plate_induced,1.7595,0.9787,1.2652,130.72,FAIL
Grade A,235.0,8.0,600.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,120.0,40.0,1.1379,plate_induced,1.1379,0.5872,0.7591,130.72,FAIL
Grade A,235.0,8.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,100.0,0.0,0.8797,plate_induced,0.8797,0.4894,0.4894,130.72,PASS
Grade A,235.0,8.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,150.0,0.0,1.3196,plate_induced,1.3196,0.734,0.734,130.72,FAIL
Grade A,235.0,8.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,200.0,0.0,1.7595,plate_induced,1.7595,0.9787,0.9787,130.72,FAIL
Grade A,235.0,8.0,600.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,120.0,40.0,1.1379,plate_induced,1.1379,0.5872,0.5872,130.72,FAIL
Grade A,235.0,8.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,100.0,0.0,1.1823,plate_induced,1.1823,0.5057,0.7323,97.27,FAIL
Grade A,235.0,8.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,150.0,0.0,1.7734,plate_induced,1.7734,0.7585,1.0984,97.27,FAIL
Grade A,235.0,8.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,200.0,0.0,2.3645,plate_induced,2.3645,1.0114,1.4646,97.27,FAIL
Grade A,235.0,8.0,700.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,120.0,40.0,1.5347,plate_induced,1.5347,0.6068,0.8787,97.27,FAIL
Grade A,235.0,8.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,100.0,0.0,1.1823,plate_induced,1.1823,0.4894,0.6326,97.27,FAIL
Grade A,235.0,8.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,150.0,0.0,1.7734,plate_induced,1.7734,0.734,0.9489,97.27,FAIL
Grade A,235.0,8.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,200.0,0.0,2.3645,plate_induced,2.3645,0.9787,1.2652,97.27,FAIL
Grade A,235.0,8.0,700.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,120.0,40.0,1.5347,plate_induced,1.5347,0.5872,0.7591,97.27,FAIL
Grade A,235.0,8.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,100.0,0.0,1.1823,plate_induced,1.1823,0.4894,0.4894,97.27,FAIL
Grade A,235.0,8.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,150.0,0.0,1.7734,plate_induced,1.7734,0.734,0.734,97.27,FAIL
Grade A,235.0,8.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,200.0,0.0,2.3645,plate_induced,2.3645,0.9787,0.9787,97.27,FAIL
Grade A,235.0,8.0,700.0,T600x200,600.0,10.0,200.0,20.0,60.0,2400.0,120.0,40.0,1.5347,plate_induced,1.5347,0.5872,0.5872,97.27,FAIL
Grade A,235.0,8.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,100.0,0.0,1.5442,plate_induced,1.5442,0.5074,0.7323,74.47,FAIL
Grade A,235.0,8.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,150.0,0.0,2.3162,plate_induced,2.3162,0.7611,1.0984,74.47,FAIL
Grade A,235.0,8.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,200.0,0.0,3.0883,plate_induced,3.0883,1.0148,1.4646,74.47,FAIL
Grade A,235.0,8.0,800.0,T250x90,250.0,10.0,90.0,12.0,25.0,2400.0,120.0,40.0,2.0354,plate_induced,2.0354,0.6089,0.8787,74.47,FAIL
Grade A,235.0,8.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,100.0,0.0,1.5442,plate_induced,1.5442,0.4894,0.6326,74.47,FAIL
Grade A,235.0,8.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,150.0,0.0,2.3162,plate_induced,2.3162,0.734,0.9489,74.47,FAIL
Grade A,235.0,8.0,800.0,T400x120,400.0,12.0,120.0,16.0,33.333,2400.0,200.0,0.0,3.0883,plate_induced,3.0883,0.9787,1.2652,74.47,FAIL
