BuoyID,Type,Diameter_m,Height_m,Mass_te,Buoyancy_kN,Cd_Normal,Cd_Axial,Ca_Normal,Ca_Axial,WaterDepth_min_m,WaterDepth_max_m,Description
CALM_10m_100m,CALM,10.0,3.5,75,2000,0.8,1.13,1.0,0.07,30,150,Standard CALM buoy for shallow water tanker operations
CALM_12m_100m,CALM,12.0,4.5,95,3000,0.8,1.13,1.0,0.07,50,200,Medium CALM buoy for tanker operations
CALM_15m_200m,CALM,15.0,5.5,140,4800,0.8,1.13,1.0,0.07,80,300,Large CALM buoy for VLCC operations
CALM_18m_300m,CALM,18.0,6.5,200,7200,0.8,1.13,1.0,0.07,100,500,Extra large CALM buoy for deep water VLCC
SPM_8m,SPM,8.0,3.0,45,1200,0.75,1.1,1.0,0.08,20,100,Single point mooring buoy
SPM_10m,SPM,10.0,3.5,65,1800,0.75,1.1,1.0,0.08,30,150,Single point mooring buoy - medium
METOCEAN_3m,Metocean,3.0,2.0,2.5,120,0.6,1.0,0.8,0.05,10,500,Environmental monitoring buoy
METOCEAN_5m,Metocean,5.0,3.0,8,320,0.6,1.0,0.8,0.05,20,1000,Large metocean data buoy
SPAR_6m,Spar,6.0,15.0,45,950,0.7,1.1,1.0,0.1,50,500,Spar-type surface buoy
SPAR_10m,Spar,10.0,25.0,120,2500,0.7,1.1,1.0,0.1,100,1500,Deep water spar buoy
NAVIGATION_2m,Navigation,2.0,4.0,1.5,45,0.65,1.0,0.9,0.05,5,50,Navigation aid marker buoy
PICK_UP_1m,PickUp,1.0,1.5,0.3,8,0.6,1.0,0.8,0.05,10,200,Mooring pick-up buoy
