time,stress_range,mean_stress
0.0,45.2,12.5
0.25,52.8,15.2
0.50,38.9,8.7
0.75,67.3,22.1
1.00,41.5,10.3
1.25,59.1,18.6
1.50,33.7,6.2
1.75,74.2,28.4
2.00,48.6,14.1
2.25,35.8,7.9
2.50,61.4,20.3
2.75,29.1,4.5
3.00,83.7,31.8
3.25,44.2,11.7
3.50,56.9,17.4
3.75,39.5,9.1
4.00,70.1,25.6
4.25,32.4,5.8
4.50,49.8,13.9
4.75,64.7,21.2
5.00,42.1,10.8
5.25,77.5,29.3
5.50,36.3,8.2
5.75,53.6,16.1
6.00,47.9,12.9
6.25,66.8,23.7
6.50,31.2,5.4
6.75,58.4,19.5
7.00,40.7,9.6
7.25,71.9,26.8
7.50,34.5,7.1
7.75,62.3,20.9
8.00,46.1,13.4
