Tension_kN,Environment,Heading,EndA_Max_kN,EndA_Min_kN,GlobalY_Max_m,MaxStrain_pct,MaxBendStress_MPa,BendUtil,CombinedUtil,Status,HasDynamic
1250,001yr,090deg,2766.0,657.6,127.33,2.273,1076.5,2.402,2.507,FAIL,True
1250,001yr,135deg,662.5,-440.0,114.75,1.045,1484.2,3.312,3.36,FAIL,True
1250,95NE,090deg,1797.6,919.2,47.76,1.477,360.6,0.805,0.873,OK,True
1250,95NE,135deg,916.1,745.4,40.28,1.034,432.6,0.965,1.013,FAIL,True
1500,001yr,090deg,3057.9,735.0,127.85,2.514,1079.2,2.408,2.524,FAIL,True
1500,001yr,135deg,916.9,-394.3,112.66,1.252,1523.1,3.398,3.456,FAIL,True
1500,95NE,090deg,1983.5,1210.8,47.62,1.63,344.8,0.769,0.845,OK,True
1500,95NE,135deg,1137.6,1014.7,40.02,1.241,410.1,0.915,0.972,FAIL,True
2000,001yr,090deg,3374.5,1149.2,128.12,2.774,1049.8,2.342,2.471,FAIL,True
2000,001yr,135deg,1442.7,59.3,110.2,1.659,1591.4,3.551,3.628,FAIL,True
2000,95NE,090deg,2410.7,1733.8,47.89,1.981,333.8,0.745,0.836,OK,True
2000,95NE,135deg,1604.2,1539.7,39.55,1.651,377.9,0.843,0.92,FAIL,True
2500,001yr,090deg,3604.4,1536.7,127.83,2.962,1016.1,2.267,2.404,FAIL,True
2500,001yr,135deg,1831.8,617.4,109.25,2.07,1585.0,3.537,3.632,FAIL,True
2500,95NE,090deg,2877.0,2271.1,47.83,2.365,339.8,0.758,0.867,OK,True
2500,95NE,135deg,2090.3,2043.5,39.29,2.061,357.7,0.798,0.893,OK,True
900,001yr,090deg,2079.0,330.9,126.21,1.709,1065.7,2.378,2.457,FAIL,True
900,001yr,135deg,274.5,-185.2,121.75,0.756,1587.0,3.541,3.576,FAIL,True
900,95NE,090deg,1492.4,478.3,47.26,1.227,366.3,0.817,0.874,OK,True
900,95NE,135deg,622.6,311.6,41.24,0.746,480.7,1.073,1.107,FAIL,True
