File,EndA_Static_kN,EndB_Static_kN,EndA_Min_kN,EndA_Max_kN,EndB_Min_kN,EndB_Max_kN,GlobalY_Min_m,GlobalY_Max_m
1500kN_env_001yr_090deg,1545.5498046875,1500.4100341796875,4.913621425628662,3206.968994140625,1499.29541015625,1500.4100341796875,-18.22022876372363,127.84964129025714
1500kN_env_001yr_135deg,1545.5498046875,1500.4100341796875,-465.2784729003906,1558.4769287109375,1499.40673828125,1500.4100341796875,-18.22022876372363,112.65733654521304
1500kN_env_95NE_090deg,1545.5498046875,1500.4100341796875,1073.7366943359375,1983.49267578125,1499.9002685546875,1500.4100341796875,-18.22022876372363,47.62185982013378
1500kN_env_95NE_135deg,1545.5498046875,1500.4100341796875,938.2002563476562,1552.4559326171875,1499.833984375,1500.4100341796875,-18.22022876372363,40.016271732751065
2000kN_env_001yr_090deg,2045.464111328125,2000.4754638671875,616.3399047851562,3502.52001953125,1999.431396484375,2000.4754638671875,-17.927640101500835,128.11572460172002
2000kN_env_001yr_135deg,2045.464111328125,2000.4754638671875,-30.89067840576172,2054.5498046875,1999.4840087890625,2000.4754638671875,-17.927640101500835,110.19794512171586
2000kN_env_95NE_090deg,2045.464111328125,2000.4754638671875,1634.479248046875,2410.69287109375,1999.9088134765625,2000.4754638671875,-17.927640101500835,47.889698340894356
2000kN_env_95NE_135deg,2045.464111328125,2000.4754638671875,1443.5233154296875,2051.318603515625,1999.83349609375,2000.4754638671875,-17.927640101500835,39.54861433918563
2500kN_env_001yr_090deg,2545.615966796875,2500.48388671875,1192.5035400390625,3867.958984375,2499.527099609375,2500.48388671875,-17.702593602740663,127.83002616247998
2500kN_env_001yr_135deg,2545.615966796875,2500.48388671875,460.66241455078125,2552.917724609375,2499.548095703125,2500.48388671875,-17.702593602740663,109.25118592983381
2500kN_env_95NE_090deg,2545.615966796875,2500.48388671875,2159.21435546875,2879.04443359375,2499.9140625,2500.48388671875,-17.702593602740663,47.83100404140846
2500kN_env_95NE_135deg,2545.615966796875,2500.48388671875,1947.5025634765625,2550.9658203125,2499.829345703125,2500.48388671875,-17.702593602740663,39.2906861084322
