Moorings,AQWA Direction,True Heading,Wind Speed,Tug,Surge (X),Sway (Y),Heave (Z),Roll (RX),Pitch (RY),Yaw (RZ)
All intact,0,166.28,44.704,FALSE,5.707865,-7.2651184,-0.0169361,0.15933545,-0.017394473,-7.0486835
All intact,15,151.28,44.704,FALSE,3.675249,-1.4575659,-0.0167726,0.16357254,-0.027934548,-2.9145195
All intact,30,136.28,44.704,FALSE,1.704046,1.19712204,-0.024308,0.2392861,-0.025847421,-0.6816993
All intact,45,121.28,44.704,FALSE,1.360296,1.638831,-0.0326136,0.3216863,-0.018866569,-0.68859288
All intact,60,106.28,44.704,FALSE,0.980577,1.9352794,-0.0384138,0.37962339,-0.011473699,-0.75302377
All intact,75,91.28,44.704,FALSE,0.568018,2.1092397,-0.0420812,0.41623903,-0.003714631,-0.76832327
All intact,90,76.28,44.704,FALSE,0.132563,2.1082507,-0.0423925,0.41941226,0.003591852,-0.71327063
All intact,0,166.28,53.6448,FALSE,6.601896,-7.0819242,-0.0230396,0.21745371,-0.021863379,-7.392641
All intact,15,151.28,53.6448,FALSE,4.612223,-1.4547203,-0.0238731,0.23315461,-0.036752102,-3.5114328
All intact,30,136.28,53.6448,FALSE,2.405741,1.581701,-0.033036,0.32588438,-0.033643589,-0.955509
All intact,45,121.28,53.6448,FALSE,1.907659,2.1830296,-0.0435431,0.43064219,-0.024181657,-0.9841115
All intact,60,106.28,53.6448,FALSE,1.358492,2.5767343,-0.0508025,0.50326571,-0.013157616,-1.0379527
All intact,75,91.28,53.6448,FALSE,0.781248,2.8128552,-0.0554808,0.54987869,-0.002749127,-1.015147
All intact,90,76.28,53.6448,FALSE,0.183626,2.7950599,-0.0556014,0.55103848,0.006625917,-0.9079913
Line 6 Gone,0,166.28,44.704,FALSE,5.709158,-7.2630823,-0.0170587,0.16058304,-0.017017317,-7.059914
Line 6 Gone,15,151.28,44.704,FALSE,3.674967,-1.4572079,-0.016773,0.16357667,-0.027937353,-2.9141513
Line 6 Gone,30,136.28,44.704,FALSE,1.659384,1.25198889,-0.0241735,0.23800898,-0.025680315,-0.67161467
Line 6 Gone,45,121.28,44.704,FALSE,1.256391,1.7687805,-0.0321033,0.31705076,-0.018309188,-0.71814474
Line 6 Gone,60,106.28,44.704,FALSE,0.833017,2.1187601,-0.0377238,0.37344796,-0.010667705,-0.81834277
Line 6 Gone,75,91.28,44.704,FALSE,0.376562,2.3268609,-0.0410245,0.40662131,-0.002663432,-0.83144542
Line 6 Gone,90,76.28,44.704,FALSE,-0.087183,2.3419198,-0.0411737,0.40822897,0.004520825,-0.78406086
Line 6 Gone,0,166.28,53.6448,FALSE,6.601862,-7.0819008,-0.0230382,0.2174428,-0.021868833,-7.3925385
Line 6 Gone,15,151.28,53.6448,FALSE,4.614279,-1.4577904,-0.0238708,0.23313308,-0.036752739,-3.514219
Line 6 Gone,30,136.28,53.6448,FALSE,2.340933,1.6642643,-0.0326374,0.32218674,-0.033716526,-0.9235066
Line 6 Gone,45,121.28,53.6448,FALSE,1.778513,2.3486645,-0.0426195,0.42221421,-0.023038548,-1.0186458
Line 6 Gone,60,106.28,53.6448,FALSE,1.17658,2.8209391,-0.0498364,0.49463126,-0.011818506,-1.0789385
Line 6 Gone,75,91.28,53.6448,FALSE,0.532957,3.0935616,-0.0538228,0.53469,-0.001398707,-1.0837577
Line 6 Gone,90,76.28,53.6448,FALSE,-0.107229,3.0913398,-0.0537017,0.53340105,0.007736286,-0.9875899
0 in Slack,15,151.28,44.704,FALSE,3.675249,-1.4575659,-0.0167726,0.16357254,-0.027934548,-2.9145195
3 in Slack,15,151.28,44.704,FALSE,3.719076,-1.470383,-0.0167821,0.16370131,-0.027685125,-2.9850556
6 in Slack,15,151.28,44.704,FALSE,3.757036,-1.4816449,-0.0167916,0.16382397,-0.027469036,-3.0465509
9 in Slack,15,151.28,44.704,FALSE,3.800302,-1.4946349,-0.0168059,0.16399894,-0.027237811,-3.1170432
0 in Slack,30,136.28,44.704,FALSE,1.704046,1.19712204,-0.024308,0.2392861,-0.025847421,-0.6816993
3 in Slack,30,136.28,44.704,FALSE,1.750837,1.18718791,-0.0242107,0.23835507,-0.025535383,-0.75913754
6 in Slack,30,136.28,44.704,FALSE,1.77656,1.19220787,-0.0241774,0.23807338,-0.025384874,-0.79687449
9 in Slack,30,136.28,44.704,FALSE,1.805654,1.19787264,-0.0241378,0.23773337,-0.025213455,-0.83959981
0 in Slack,15,151.28,53.6448,FALSE,4.612223,-1.4547203,-0.0238731,0.23315461,-0.036752102,-3.5114328
3 in Slack,15,151.28,53.6448,FALSE,4.651857,-1.4613125,-0.0238855,0.23332358,-0.036458132,-3.5746473
6 in Slack,15,151.28,53.6448,FALSE,4.686262,-1.4672965,-0.0238932,0.23344252,-0.036204056,-3.6298806
9 in Slack,15,151.28,53.6448,FALSE,4.725141,-1.473646,-0.0239089,0.23363427,-0.03593503,-3.6926269
0 in Slack,30,136.28,53.6448,FALSE,2.405741,1.581701,-0.033036,0.32588438,-0.033643589,-0.955509
3 in Slack,30,136.28,53.6448,FALSE,2.433668,1.5894375,-0.0329912,0.32551054,-0.033436839,-0.9926902
6 in Slack,30,136.28,53.6448,FALSE,2.479135,1.5801254,-0.0328582,0.32427621,-0.033377473,-1.061808
9 in Slack,30,136.28,53.6448,FALSE,2.509153,1.585876,-0.0328095,0.32386664,-0.033183072,-1.103687
Line1 80 Te Brake,15,151.28,44.704,FALSE,3.689604,-1.4574292,-0.0167807,0.16366716,-0.027826299,-2.9387614
Line1 80 Te Brake,30,136.28,53.6448,FALSE,1.459078,1.11889642,-0.0246881,0.24251795,-0.027431317,-0.33914616
