NAME,Atwood Hunter,Atwood Hunter.1,Atwood Hunter.2,Atwood Hunter.3,Atwood Hunter.4,Atwood Hunter.5,Atwood Hunter.6,Atwood Hunter.7,Ocean Worker,Ocean Valiant,Ocean Victory,Ocean Endeavor,Ocean Monarch,Ocean Rover,Ocean Star,Blackford Dolphin,Ensco 5006,Ensco 5001,Noble Amos Runner,Noble Paul Romano,Noble Jim Thompson,Noble Max Smith,Noble Homer Ferrington,Noble Clyde Boudreaux,Noble Lorris Bouzigard,NobleTherald Martin,Noble Driller,Deepwater Nautilus,Transocean Marianas,Gsf Celtic Sea,Jack Bates,"M.G. Hulme, Jr",Transocean Richardson,Henry Goodrich,Jim Cunningham,Transocean Leader,Transocean Rather,Soverign Explorer,Aban Abraham,Hysy 981,Ocean Clipper,Ocean Confidence,Ocean Alliance,Ocean Courage,Ocean Valor,Belford Dolphin,Ensco 7500,Ensco 8500,Ensco 8501,Ensco 8502,Ensco 8503,Ensco 8504,Ensco 8505,Ensco DS-1,Ensco DS-2,Ensco 6001,Ensco 6002,Ensco 6004,Ensco 6003,Ensco DS-3,Ensco DS-4,Ensco DS-5,Ensco DS-6,LA Muralla IV,Jasper Explorer,Maersk Developer,Maersk Discoverer,Maersk Deliverer,Noble Paul Wolff,Noble Roger Eason,Noble Leo Segerius,Noble Muravlenko,Noble Dave Beard,Noble Danny Adkins,Noble Jim Day,Noble Phoenix,Noble Globetrotter I,Noble Bully I,Erik Raude,Leiv Eiriksson,Ocean Rig Corcovado,Ocean Rig Olympia,Ocean Rig Poseiden,Ocean Rig Mykonos,Deepsea Metro I,Deepsea Metro II,Deepsea  Stavanger,Deepsea  Atlantic,Pacific Bora,Pacific Scirocco,Pacific Mistral,Pacific Santa Ana,Louisiana,SSV Victoria,Gold Star,Alpha Star,Lone Star,Saipem 10000,Saipem12000,Scarabeo 5,Scarabeo 8,Scarabeo 9,SC Lancer,West Navigator,West Phoenix,West Eminence,West Sirius,West Taurus,West Hercules,West Aquarius,West Polaris,West Capella,West Orion,West Capricorn,West Pegasus,West Leo,West Gemini,Sevan Driller,Songa Eclipse,Stena Drillmax,Stena Carron,Stena Forth,Stena Icemax,Deepwater Asgard,Deepwater Invictus,Deepwater Champion,Transocean  Barents,Transocean Spitsbergen,Discoverer India,Discoverer Clear Leader,Discoverer Americas,Discoverer Inspiration,Petrobras 10000,Dhirubhai Deepwater KG1,Dhirubhai Deepwater KG2,Discoverer Luanda,Development Driller III,Deepwater Discovery,Deepwater Expedition,Deepwater Frontier,Deepwater Millennium,Deepwater Pathfinder,Discoverer Deep Seas,Discoverer Enterprise,Discoverer Spirit,GSF C.R. Luigs,GSF Jack Ryan,GSF Explorer,GSF Development Driller I,GSF Development Driller II,Deepwater Navigator,Sedco Energy,Sedco Express,Cajun Express,Discoverer 534,Sedco 707,Discoverer Seven Seas,Sedco 702,Sedco 706,Sedco 709,Sedco 710,Platinum Explorer,Titanium Explorer
TOTAL VESSEL POWER (H.P.),8050,7800,7800,,18120,12940,9075,3880,13280,18120,9075,12940,12940,12940,10750,19300,12220,13000,12500,10000,10000,10000,10000,12900,8400,8400,15000,25200,23550,19000,20000,7800,18180,22528,8800,17760,18120,14792,24000,,25200,53083,37600,40480,40480,58800,30000,35000,35000,35000,35000,35000,35000,39660,39660,26760,26760,26760,26760,54000,64200,64200,64200,,,51500,51500,51500,43000,32000,35000,17200,,51360,51360,36000,49350,43200,10200,10200,,,,,,,,,60000,60000,60000,60000,,,,,,56000,64000,40000,54000,62000,,43000,50500.0,50500.0,50500.0,50500.0,50500,50500,64500,64500,50500.0,50500.0,49300.0,49300.0,64500,,,56300,60000,60000,60000,56300,56300,60346,56528,56528,56320,56320,56320,56320,58656,56320,56320,56320,54080,42900,26000,46797,46797,46797,52000,52000,52000,46320,46320,36780,40766,40766,24000,35700,35700,41230,21500,26400,21500,26550,26550,24500,25744,36996,44250
MAX. VESSEL SPEED (knots),,,,,,4,4,4,4.5,12,4,4,4,4,3.5,,-,-,3.5,3.5,3.5,3.5,3.5,8,3,3,3.5,4.5,3,5,7,7,6,,4.5,5,6,6.5,11,,9,3.5,6,8.5,8.5,10,8.3,8,8,8,8,8,8,12,11,7,7,7,7,10,11,11,11,,8.5,8,8,8,6,9,10,12,,8 200,8 200,10,12,10,7,7,12,12,12,12,,,,,12,12,12,12,,,,,,12,12,10,9.5,10,,12,8.0,8.0,7.0,7.0,6,6,11,11,7.0,7.0,8.0,8.0,11,,,12,12,12,12,12.5,12.5,14,8,8,12,12,12,12,11,12,12,13,5,12.2,14,10,10,10,13,13,13,12,12,10,8,8,6,10,10,10,10,6,10,5,5,5,5,12,12
QUARTERS CAPACITY (persons),120,120,122,200.0,123,138,99,96,108,140,110,140,150,130,116,130,120,140,122,114,136,130,150,200,120,120,120,150,146,140,118,140,138,145,120,110,104,134,120,,140,146,120,164,164,130,122,150,150,150,150,150,150,162,162,130,130,130,120,200,200,200,200,,139.0,180,180,180,125,105,150,116,,344,344,120,180,156,140,140,217,217,217,217,210.0,210.0,156.0,156.0,200,200,200,200,,,,130,130,170,200,106,140,200,100.0,117,128.0,180.0,180.0,180.0,180,180,180,180,180.0,180.0,192.0,192.0,180,150.0,164.0,180,180,180,180,200,200,210,140,140,220,220,220,220,199,200,200,200,200,140,130,130,130,130,200,200,200,150,150,140,152,152,127,184,184,140,140,112,140,150,150,124,130,180,180
LENGTH (ft.),290,325,325,354.0,401,324,324,355,303,401,336,324,324,324,335.5,355,390,378.5,348.6,348.6,348.6,348.6,338.9,318,324,324,355,392,315,320,370,296,325,320,296,360,325,301,488,374.0,528,320,402,398,398,672,240,255,255,255,255,255,255,680,680,249,249,249,249,751,751,751,751,398.0,541.0,384,384,384,341.6,541,516,490,,277,277,344.5,620,615,391,391,748,748,748,748,753.0,753.0,108.0,108.0,748,748,748,748,,,,339,339,745,745,265,273,265,450.0,830,273.0,273.0,379.0,379.0,382,382,748,748,379.0,379.0,387.0,387.0,748,279.0,244.0,748,748,748,748,781,781,752,295,295,835,835,835,835,748,748,748,835,257,746.5,564,726,726,726,835,835,835,759,759,619,324,324,550.3,349,349,349,534,355,534,355,355,300,295,781,781
WIDTH (ft.),246.7,200,226,244.0,259,327,336,248,200,259,315,327,327,327,314.67,276,234,264,328.25,328.25,328.25,328.25,225.6,248,338,338,241,308,249,285,255,228,286,251,228,240,287,256,448,292.0,109,238,259,298,298,131,248,240,240,240,240,240,240,98.5,98.5,179,179,179,179,138,138,138,138,298.0,98.0,258,258,258,363.4,90,111,79,,39.5,39.5,72,105,128,279,279,,,,,118.0,118.0,78.0,78.0,138,138,138,138,,,,228,228,37,37,226,238,250,77.0,138,239.0,239.0,296.0,296.0,317,317,138,138,296.0,296.0,239.0,239.0,138,246.0,244.0,137.8,137.8,137.8,137.8,138,138,118,230,230,125,125,125,125,137,137,137,125,256,137.8,93,138,138,138,125,125,125,118,118,116,258,258,86.5,226,226,226,87,245,86,245,245,262,249,157,157
TRANSIT DRAFT (ft.),24,24,24,27.4,27,41.5,32,22,25,27,32,41.5,41.5,41.5,32,22,30,33,15.75,34,15.9,17,19,29,24.6,24.6,22,28.9,30,25,29,30,29,43,30,25,29,37,,,24,39,29,27.6,27.6,26,23,25,25,25,25,25,25,31.5,31.5,28,28,28,28,28,28,28,28,,,32,32,32,15,30,24,24,,82,82,-,39,32.5,39.4,39.4,,,,,,,32.6,32.6,28,28,28,28,,,,28.5,28.5,26.2,27.8,29.5,35,36.8,,43,32.3,32.3,27.7,27.7,30.5,30.5,27.2,27.2,27.7,27.7,32.3,32.3,27.2,,,26.25,26.25,26.25,26.25,29.5,29.5,30,32,32,39,39,39,39,28,28,28,39,32,27.9,26,28,28,28,39,39,39,28,28,35,26.9,26.9,25,29.5,29.5,29.5,16.7,21,16.7,21,21,21,21,27.88,27.88
OPERATING DRAFT (ft.),55,55,55,55.7,80,74.5,70,70,65,80,74,74.5,74.5,74.5,74,70,78,75,79,79,75-79,79,55,66,71.5,71.5,70,75.5,81,68.6,80,60,82,93,65,77,82,80,24.6,,24,75,76,55.8,55.8,40,60,60,60,60,60,60,60,31.5,31.5,62,62,62,62,39,39,39,39,,,67,67,67,79,30,24,24,,,,-,39.4,32.5,78,78,,,,,36.0,36.0,75.5,75.5,39,39,39,39,,,,67,67,39.4,39.4,77,77.1,77.4,,43,77.0,77.0,65.5,65.5,75.5,75.5,39.4,39.4,65.5,65.5,77.0,77.0,39.4,,,39.4,39.4,39.4,39.4,39,39,36,75,75,42,42,42,42,39,39,39,42,67,39.4,26,43,43,43,42,42,42,33,33,34,49.2,49.2,25,65.5,65.5,65.5,24.9,70,24.9,83,83,75,75,39.36,39.4
MAX. VARIABLE LOAD (S.T.),3630,4500,4400,7000.0,7835,5500,5600,3920,4428,7050,5700,6000,6000,5500,5600,4500,8322,4100,4000,4000,4000,4000,4000,5500,2400,2315,3715,9701,3967,5600,6736,4480,4188,5512,4972,5071,3858,3906,8950,9000.0,11384,6600,4300,8000,8000,12515,8000,8000,8000,8000,8000,8000,8000,19510,19510,3857,3857,3857,3857,20000,20000,20000,20000,,7958.0,14900,14900,14900,5500,11163,12150,7200,,9000,9000,6804,20620,12300,6624,6624,20000,20000,20000,20000,,,7000.0,7000.0,22051,22051,22051,22051,,,,"9,622 
131 x 30",9622,20000,20000,4740,6600,7700,,9900,6100.0,6100.0,7000.0,7000.0,7000,7000,20000,20000,7000.0,7000.0,6800.0,6800.0,20000,,7000.0,22046,22046,22046,16535,25353,25353,23888,7716,7716,22046,22046,22046,22046,22046,22046,22046,22046,14881,24251,8500,22928,22928,22928,22050,22050,22050,24600,24600,26350,7716,7716,12304,11350,11350,"8,800 144 x 46",9240,5000,9507,4400,4400,3163,3660,29101,29101
MOONPOOL LENGHT (ft.),20 x 40,20 x 40,20 x 40,,21 x 44,91 x 25,19 x 35,15 x 36,197 x 232,21 x 44,20 x 17,91 x 25,91 x 25,91 x 25,20 x 20,32 x 20,21.4 x 100,22 x 94,25 x 45,25 x 45,25 x 45,25 x 45,79 x 20,90 x 20,52.3 x 19.5,52.3 x 19.5,19.94 x 60.75,21 x 93,23 x 70,76.5 x 22,28 x 38,82.5 x 21.3,63 x 20,23 x 26,21 x 89,23 x 33,63 x 20,59 x 20,29.6 x 23.6,,20 x 18,26 x 74,23 x 25,135.6 x 29.52,135.6 x 29.52,3 ea 33 x 80,20 x 75,30 x 120,30 x 120,30 x 120,30 x 120,30 x 120,30 x 120,39.4 x 31.0,39.4 x 31.0,80 x 20,80 x 20,80 x 20,80 x 20,41 x 84,41 x 84,41 x 84,41 x 84,,,100 x 30,100 x 30,100 x 30,31 x 20,22.5 x 26,27 x 23,27 x 23,,103 x 23,103 x 23,23.6 x 27.1,89.2 x 36.7,64 x 41,23 x 47.5,23 x 47.5,84 x41,84 x41,84 x41,84 x41,,,,,94 x 41,94 x 41,94 x 41,94 x 41,,,,,131 x 30,126 x 41,126 x 41,95 x 23,118.6 x 37.6,137.8 x 26.2,,63 x 39,,,,,63 x 26,63 x 26,84 x 31,84 x 31,,,,,84 x 31,,,84 x 41,84 x 41,84 x 41,84 x 41,82 x 41.3,82 x 41.3,73.5 x 42,75 x 34,75 x 34,72.5 x 30,72.5 x 30,72.5 x 30,72.5 x 30,84 x 41,84 x 41,84 x 41,72 x 30,136 x 25,52 x 40,26 x 28,42 x 41,42 x 41,42 x 41,80 x 30,80 x 30,80 x 30,42 x 42,42 x 42,74 x 42,140 x 28,140 x 28,29 x 29.3,135 x 26,135 x 26,144 x 46,25 x 25,23 x 16,26 x 26,20 x 20,20 x 20,22 x 16,26 x 24,82 x 41,82 x 41
MOONPOOL BREADTH (ft.),20 x 40,20 x 40,20 x 40,,21 x 44,91 x 25,19 x 35,15 x 36,197 x 232,21 x 44,20 x 17,91 x 25,91 x 25,91 x 25,20 x 20,32 x 20,21.4 x 100,22 x 94,25 x 45,25 x 45,25 x 45,25 x 45,79 x 20,90 x 20,52.3 x 19.5,52.3 x 19.5,19.94 x 60.75,21 x 93,23 x 70,76.5 x 22,28 x 38,82.5 x 21.3,63 x 20,23 x 26,21 x 89,23 x 33,63 x 20,59 x 20,29.6 x 23.6,,20 x 18,26 x 74,23 x 25,135.6 x 29.52,135.6 x 29.52,3 ea 33 x 80,20 x 75,30 x 120,30 x 120,30 x 120,30 x 120,30 x 120,30 x 120,39.4 x 31.0,39.4 x 31.0,80 x 20,80 x 20,80 x 20,80 x 20,41 x 84,41 x 84,41 x 84,41 x 84,,,100 x 30,100 x 30,100 x 30,31 x 20,22.5 x 26,27 x 23,27 x 23,,103 x 23,103 x 23,23.6 x 27.1,89.2 x 36.7,64 x 41,23 x 47.5,23 x 47.5,84 x41,84 x41,84 x41,84 x41,,,,,94 x 41,94 x 41,94 x 41,94 x 41,,,,,131 x 30,126 x 41,126 x 41,95 x 23,118.6 x 37.6,137.8 x 26.2,,63 x 39,,,,,63 x 26,63 x 26,84 x 31,84 x 31,,,,,84 x 31,,,84 x 41,84 x 41,84 x 41,84 x 41,82 x 41.3,82 x 41.3,73.5 x 42,75 x 34,75 x 34,72.5 x 30,72.5 x 30,72.5 x 30,72.5 x 30,84 x 41,84 x 41,84 x 41,72 x 30,136 x 25,52 x 40,26 x 28,42 x 41,42 x 41,42 x 41,80 x 30,80 x 30,80 x 30,42 x 42,42 x 42,74 x 42,140 x 28,140 x 28,29 x 29.3,135 x 26,135 x 26,144 x 46,25 x 25,23 x 16,26 x 26,20 x 20,20 x 20,22 x 16,26 x 24,82 x 41,82 x 41
