NAME,Atwood Hunter,Atwood Hunter.1,Atwood Hunter.2,Atwood Hunter.3,Atwood Hunter.4,Atwood Hunter.5,Atwood Hunter.6,Atwood Hunter.7,Ocean Worker,Ocean Valiant,Ocean Victory,Ocean Endeavor,Ocean Monarch,Ocean Rover,Ocean Star,Blackford Dolphin,Ensco 5006,Ensco 5001,Noble Amos Runner,Noble Paul Romano,Noble Jim Thompson,Noble Max Smith,Noble Homer Ferrington,Noble Clyde Boudreaux,Noble Lorris Bouzigard,NobleTherald Martin,Noble Driller,Deepwater Nautilus,Transocean Marianas,Gsf Celtic Sea,Jack Bates,"M.G. Hulme, Jr",Transocean Richardson,Henry Goodrich,Jim Cunningham,Transocean Leader,Transocean Rather,Soverign Explorer,Aban Abraham,Hysy 981,Ocean Clipper,Ocean Confidence,Ocean Alliance,Ocean Courage,Ocean Valor,Belford Dolphin,Ensco 7500,Ensco 8500,Ensco 8501,Ensco 8502,Ensco 8503,Ensco 8504,Ensco 8505,Ensco DS-1,Ensco DS-2,Ensco 6001,Ensco 6002,Ensco 6004,Ensco 6003,Ensco DS-3,Ensco DS-4,Ensco DS-5,Ensco DS-6,LA Muralla IV,Jasper Explorer,Maersk Developer,Maersk Discoverer,Maersk Deliverer,Noble Paul Wolff,Noble Roger Eason,Noble Leo Segerius,Noble Muravlenko,Noble Dave Beard,Noble Danny Adkins,Noble Jim Day,Noble Phoenix,Noble Globetrotter I,Noble Bully I,Erik Raude,Leiv Eiriksson,Ocean Rig Corcovado,Ocean Rig Olympia,Ocean Rig Poseiden,Ocean Rig Mykonos,Deepsea Metro I,Deepsea Metro II,Deepsea  Stavanger,Deepsea  Atlantic,Pacific Bora,Pacific Scirocco,Pacific Mistral,Pacific Santa Ana,Louisiana,SSV Victoria,Gold Star,Alpha Star,Lone Star,Saipem 10000,Saipem12000,Scarabeo 5,Scarabeo 8,Scarabeo 9,SC Lancer,West Navigator,West Phoenix,West Eminence,West Sirius,West Taurus,West Hercules,West Aquarius,West Polaris,West Capella,West Orion,West Capricorn,West Pegasus,West Leo,West Gemini,Sevan Driller,Songa Eclipse,Stena Drillmax,Stena Carron,Stena Forth,Stena Icemax,Deepwater Asgard,Deepwater Invictus,Deepwater Champion,Transocean  Barents,Transocean Spitsbergen,Discoverer India,Discoverer Clear Leader,Discoverer Americas,Discoverer Inspiration,Petrobras 10000,Dhirubhai Deepwater KG1,Dhirubhai Deepwater KG2,Discoverer Luanda,Development Driller III,Deepwater Discovery,Deepwater Expedition,Deepwater Frontier,Deepwater Millennium,Deepwater Pathfinder,Discoverer Deep Seas,Discoverer Enterprise,Discoverer Spirit,GSF C.R. Luigs,GSF Jack Ryan,GSF Explorer,GSF Development Driller I,GSF Development Driller II,Deepwater Navigator,Sedco Energy,Sedco Express,Cajun Express,Discoverer 534,Sedco 707,Discoverer Seven Seas,Sedco 702,Sedco 706,Sedco 709,Sedco 710,Platinum Explorer,Titanium Explorer
Derrick Rating (Kips),1200,1200,1000,2000,1800,2000,1150,1000,1050,1500,1500,2000,2000,2000,1300,1500,1600,1500,1500,1500,1500,1500,1500,2MM/1MM,1150,1100,1600,2500,1500,1600,2000,1393,1500,1500,1392,1500,1500,1400,1330,,1400,2000,1800,2000,2000,2000,1928,2000,2000,2000,2000,2000,2000,1600,1600,1300,1300,1300,1300,2000,2000,2000,2000,,1500,"2,500/1,500","2,500/1,500","2,500/1,500",1500,1400,1500,1000,2000,2500,2500,1500,2000,2000,2000,2000,,,,,,,,,2000,2000,2000,2000,,,,,,2000,2000,1500,2000,2000,1000,"1x1,500 + 1x1,300","1x2,000, 1x1,000","1x2,000, 1x1,000",2500,2500,2000,2000,"1x2,000, 1x1,000","1x2,000, 1x1,000",2500,2500,2000,2000,"1x2,000, 1x1,000",,,2000,2000,2000,2000,5000,5000,4000,"3,000 (2,000/1,000)","3,000 (2,000/1,000)",5000,5000,5000,5000,4000,4000,4000,5000,3000,1200,2600,2000,2000,2000,4000,4000,4000,2000,2000,2000,"3,000 (2,000/1,000)","3,000 (2,000/1,000)",1500,2057,2057,2057,1330,1000,1330,1300,1300,1000,1300,2000,2500
Derrick Manufacturer,Pyramid,Pyramid,Pyramid,Loadmaster,Branham,Loadmaster,Pyramid,Golar-Nor,Dreco,DSL,Dreco,National,National,Dreco,Pyramid,Dreco,Loadmaster,Bailey,Dreco,Dreco,Dreco,Dreco,Dreco,Dreco,C.E.,C.E.,Woolslayer,Dreco,Pyramid,Dreco,Dreco,Branham,M-H,M-H,C-E,Dreco,M-H,Branham,Pyramid,,Pyramid,Pyramid,Branham,AKMH,AKMH,Dreco,Dreco,NOV,NOV,NOV,NOV,NOV,NOV,Joseph Paris,Joseph Paris,Pyramid,Pyramid,Pyramid,Pyramid,NOV,NOV,NOV,NOV,,Pyramid,NOV,NOV,NOV,Dreco,Lee C. Moore,Aker,Dreco,NOV,Dreco,Dreco,M-H,Huisman,Huisman,Hydralift,Hydralift,,,,,NOV Dual Derrick,NOV Dual Derrick,NOV Dual Derrick,NOV Dual Derrick,NOV,DEC,JAN,FEB,,,,NOV,NOV,Bailey,NOV,Dreco,WEI,Aker Solutions,Pyramid,MH,MH,MH,MH,MH,MH,MH,NOV,NOV,MH,MH,NOV,NOV,NOV,,MH,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,Aker MH,Aker MH,NOV,Aker MH,Aker MH,Dreco,Dreco,Dreco,Dreco,NOV,NOV,NOV,Dreco,NOV,Dreco,Enfab,Dreco,Dreco,Dreco,Dreco,Dreco,Dreco,Dreco,Dreco,M.I.L.,Bailey,Bailey,Dreco,J.Paris,J.Paris,J.Paris,Pyramid,Dreco,Pyramid,LCMoore,Woolslayer,Dreco,Dreco,AKMH,AKMH
Derrick Footprint Length (ft.),40,40,40,46,40,48,40,40,40,40,40,48,48,48,40,40,40,40,40,40,40,40,40,40,36,36,40,48,40,40,40,40,40,40,40,40,40,40,44,,40,50,40,46,46,46,40,40,40,40,40,40,40,48,48,40,40,40,40,80,80,80,80,,52,40,40,40,40,40,44,44,40,50,50,40,26,18.3,40,40,,,,,,,,,80,80,80,80,,,,185,185,60,60,40,85,74,44,,,,52,52,47,47,60,60,52,52,,,60,,,,,,,,,80,,,80,80,80,80,80,80,80,80,57,95,55,48,48,48,80,80,80,60,60,42,52,52,40,167,167,167,46,50,46,50,50,50,62,52,52
Derrick Footprint Breadth,40,40,40,52,40,46,40,40,40,40,40,46,46,46,40,35,44,40,40,40,40,40,40,69,36,36,42,48,40,40,40,40,40,40,40,40,40,40,36,,40,50,40,52,52,50,46,46,46,46,46,46,46,48,48,40,40,40,40,60,60,60,60,,52,72,72,72,40,40,36,36,40,50,50,40,24,26.3,40,40,,,,,,,,,60,60,60,60,,,,43,43,80,80,40,40,24.6,36,,,,46,46,47,47,80,80,46,46,,,80,,,,,,,,,60,,,80,80,80,80,60,60,60,80,52,75,85,40,40,40,80,80,80,55,55,61,57,57,40,39,39,39,54,50,54,40,40,40,24,46,46
Drawworks (H.P.),3000,3000,3000,6900,3000,4000,3000,3000,3000,3000,3000,4000,4000,4000,3000,4500,3000,3000,3000,3000,3000,3000,3000,"4,000/2,000",3000,3000,3000,8400,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,3000,5000,3000,4500,4500,6900,3000,6000,6000,6000,6000,6000,6000,4600,4600,3000,3000,3000,3000,5750,5750,5750,5750,,,"6,000/4,500","6,000/4,500","6,000/4,500",3000,3000,3000,3000,6900,6900,6900,6000,"6,170/3,080",6600,4000,4000,,,,,6900,6900,4600,4600,5750,5750,5750,5750,,,,6000,6000,4200,5750,3000,4000,Dual RamRig,3000,,,,4500,4500,4500,4500,5760,5760,4500,4500,5750,5750,5760,,4500,Hoist Cyl Rig,Hoist Cyl Rig,Hoist Cyl Rig,Hoist Cyl Rig,"9,000/6,000","9,000/6,000","6.900/5,750",Dual RamRig,Dual RamRig,"6,900x2","6,900x2","6,900x2","6,900x2","5,750x2","5,750x2","5,750x2","6,900x2","6,900/4,600",5000,5000,6600,6600,6600,5000,5000,5000,5000,5000,5000,"7,000/4,500","7,000/4,500",3000,6800,6800,6800,3000,3000,3000,3000,3000,3000,2000,4500,6000
Manufacturer of Drawworks,Oilwell,Oilwell,Oilwell,NOV,C-E,National,C-E,National,National,C-E,C-E,National,National,National,Oilwell,National,National,National,Oilwell,Oilwell,Oilwell,C-E,Oilwell,National,National,Emsco C-3 Type II,National,Hitec,National,National,C-E,National,C-E,C-E,National,C-E,C-E,National,National,,National,C-E,National,Wirth,Wirth,N-O Hitec,National,NOV,NOV,NOV,NOV,NOV,NOV,N-O Dreco,N-O Dreco,C-E,C-E,C-E,C-E,NOV,NOV,NOV,NOV,,NOV,Wirth,Wirth,Wirth,Oilwell,Oilwell,National,Oilwell,NOV,National,National,Sense,Huisman,Huisman,Emsco,Emsco,NOV,NOV,NOV,NOV,NOV,NOV,NOV,NOV,NOV,DEC,JAN,FEB,,,,NOV,NOV,Wirth,NOV,C-E,NOV,Aker Solutions,Gardner Denver,,,,Wirth GH4500,Wirth GH4500,Wirth 4500,Wirth 4500,SSGD-5760,SSGD-5760,Wirth GH4500,Wirth GH4500,NOV 1000,NOV 1000,SSGD-5760,,Wirth,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,Aker MH,Aker MH,NOV,Dual RamRig,Dual RamRig,NOV,NOV,NOV,NOV,NOV,NOV,NOV,NOV,NOV,C-E,C-E,Dreco/Hitec,Dreco/Hitec,Dreco/Hitec,C-E,C-E,C-E,National,National,National,National,National,Oilwell,N-O Hitec,N-O Hitec,N-O Hitec,National,Oilwell,C-E,Oilwell,Oilwell,Oilwell,Oilwell,Wirth,Wirth
Drill Line Size (In.),1.5,1.5,1.5,2,1.625,2,1.625,1.5,1.625,1.625,1.625,2,2,2,1.625,1.875,1.75,1.75,1.75,1.75,1.75,1.75,1.75,2/1.375,1.5,1.5,1.75,2,1.75,1.75,1.75,1.5,1.75,1.75,1.5,1.625,1.75,1.5,1.875,,1.625,1.75,1.625,2,2,2,1.75,2,2,2,2,2,,1.75,1.75,1.625,1.625,1.625,1.625,2,2,2,2,,49.5,1.85/1.75,1.85/1.75,1.85/1.75,1.75,1.5,1.5,1.5,2,2,2,1.75,2,2,60.5,60.5,60.5,60.5,60.5,60.5,,,,,2,2,2,2,,,,,,2,2,1.75,2,,1.875,,,,,,,,,,,,,,,,,,,,,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75 (2),1.75 (2),1.75,2,2,2,1.75,1.5,1.75,1.75,1.75,1.5,1.5,2,2.25
Rotary Table Size (In.),49.5,49.5,60.5,60.5,49.5,60.5,49.5,49.5,49.5,49.5,49.5,60.5,60.5,60.5,49.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5/49.5 (2),49.5,49.5,49.5,60.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,,60.5,60.5,49.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,49.5,49.5,49.5,49.5,60.5,60.5,60.5,60.5,,,60.5/60.5,60.5/60.5,60.5/60.5,60.5,49.5,49.5,49.5,60.5,60.5,60.5,49.5,60.5/60.5,60.5,Hydralift,Hydralift,,,,,,,60.5/49.5,60.5/49.5,60.5,60.5,60.5,60.5,,,,60.5,60.5,60.5,75.5,49.5,60.5,60.5,49.5,60.5 (2),60.5/49.5,60.5/49.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,,60.5,60.5/49.5,60.5/49.5,60.5/49.5,60.5/49.5,75.5/60.5,75.5/60.5,75.5/60.7,60.5 (2),60.5 (2),75.5/60.5,75.5/60.6,75.5/60.7,75.5/60.8,60.5 (2),60.5 (2),60.5 (2),75.5/60.5,60.5/49.5,60.5,49.5,60.5,60.5,60.5,60.5 (2),60.5 (2),60.5 (2),49.5,49.5,49.5,60.5/49.5,60.5/49.5,60.5,60.5,60.5,60.5,49.5,49.5,49.5,49.5,60.5,49.5,49.5,60.5,60.5
Iron Roughneck Model,NOV ST80,Varco,NOV,NOV ST-120,Varco AR3200,Hydralift,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Hydralift,Hydralift,Hydralift,Varco AR3200,Hydratong National,Varco AR-3200,M-H,Varco AR3200C,Varco AR3200C,Varco AR3200,Varco AR3200,Varco AR3200,AR5000,Varco AR3200C,Varco AR3200C,MH,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3000,Varco AR3200,M-H,M-H,Varco IR2000,M-H,Varco,M-H,Rogers ROT 8.5,,Varco AR3200,Varco AR3200,Varco AR3000,BC26-MH-1899,BC26-MH-1899,M-H,Varco AR4000,AR4500 & ST-120,AR4500 & ST-120,AR4500 & ST-120,AR4500 & ST-120,AR4500 & ST-120,AR4500 & ST-120,M-H,M-H,M-H,M-H,M-H,M-H,NOV,NOV,NOV,NOV,,NOV/Aker Kvaerner,NOV,NOV,NOV,Varco AR3200C,Varco AR3200,Varco AR3200,M-H,Varco AR5000,2x Varco AR5000,2x Varco AR5000,M-H,2x NOV AR5000,2x Aker Torq Master,Hydralift,Hydralift,,,,,NOV TDS-1000;TDS-85A,NOV TDS-1000;TDS-85A,Hydratong MPT,Hydratong MPT,2x Hydratong MPT,2x Hydratong MPT,2x Hydratong MPT,2x Hydratong MPT,,,,,,Hydralift,NOV,Varco AR3000,UNITONG,Aker Solutions,,Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),Y (2),,MH-BC25,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,Aker MH BC 561,Aker MH BC 561,Aker MH BC 561,Aker Hyd Roughneck,Aker Hyd Roughneck,AR-5000,AR-5000,AR-5000,AR-5000,dual Hydro racker,dual Hydro racker,dual Hydro racker,AR-5000,NOV ARN-200 (2),Varco AR3200C,Varco AR3200C,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Varco AR3200,Hydralift ARN-166 (2),Hydralift ARN-166 (2),Varco AR3200C,MOS,MOS,MOS,,,Varco TDS-4S,NOV ST-80,NOV ST-80,none,MH 1898,1xAKMH 1899 Mark III/1xTorque master,1xAKMH 1899 Mark III/1xTorque master
Manufacturer  Top drive & Model,Varco-TDS-4S,Varco-TDS-4S,Varco-TDS-4H,NOV TDS-1000A,Varco-TDS-4S,National PS-1000,Varco-TDS-4S,Varco-TDS-4S,Varco TDS-4H,Varco-TDS-4S,Varco-TDS-4S,National PS-1000,National PS-1000,National PS-1000,Varco-TDS-4S,EPS 750-E-AC-KT,Varco TDS-4S,Hydralift HPS-650,Varco-TDS-4S,Varco-TDS-4S,Varco-TDS-4S,Varco-TDS-4S,Varco-TDS-4S,Oilwell PS2/Oilwell PS50A,National,National PS2-500/500,MH 650,Varco TDS-8SA,Varco TDS-4S,Varco TDS-4S,Varco TDS-4S,Varco TDS-4S,Varco TDS-4,Varco TDS-4S,Varco TDS-4S,Varco TDS-4,Varco TDS-4S,Varco TDS-4,Can Rig 750 T A/C Drive,,Varco-TDS-4S,Varco-TDS-6S,Varco-TDS-4S,AKMH-DDM-AC-2M,AKMH-DDM-AC-2M,M-H DDM 750,Varco-TDS-8,NOV-TDS-1000,NOV-TDS-1000,NOV-TDS-1000,NOV-TDS-1000,NOV-TDS-1000,NOV-TDS-1000,Canrig AC-1275-681,Canrig AC-1275-681,M-H DDM-650,M-H DDM-650,M-H DDM-650,M-H DDM-650,HydraTong NOV-HPS-1000,HydraTong NOV-HPS-1000,HydraTong NOV-HPS-1000,HydraTong NOV-HPS-1000,,NOV TDS-4,NOV HPS-03,NOV HPS-03,NOV HPS-03,Varco-TDS-4S,Varco-TDS-4S,Varco-TDS-4S,M-H DDM 650,NOV PS-2-1000,Varco TDX-1250,Varco TDX-1250,MH 750,NOV-TDS-1000,Aker DDM 1000AC,HPS 1000 AC,HPS 1000 AC,,,,,,,NOV HPS-1000,NOV HPS-1000,NOV Top Drive HPS-03 1000 AC,2x NOV Top Drive HPS-03 1000 AC,1x NOV TDX 1250/1x NOV HPS-03 1000 AC,NOV Top Drive HPS-03 1000 AC,,,,NOV TDS 1000A,NOV TDS 1000A,Hydralift 750ZE,NOV HPS03 1000,Varco-TDS-4S,NOV HPS03 1000,"MH DDM 1000 HY RR 1,000 st each",,MH 1x650 + 1x750,Main 908Mt/Aux 454Mt,Main 908Mt/Aux 454Mt,NOV 1250,908Mt,908Mt,908Mt,NOV-Hydralift HPS10002E-AC-KT,NOV-Hydralift HPS10002E-AC-KT,908Mt,908Mt,NOV HPS 1000,NOV HPS 1000,NOV-Hydralift HPS10002E-AC-KT,,MH DDM-1000-AC-2M,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,M-H MDDM 1250-AC (2),M-H MDDM 1250-AC (2),NOV TDS-1000 AC / NOV TDS-8S AC,"M-H MDDM 1,000-AC / 500-AC","M-H MDDM 1,000-AC / 500-AC",M-H MDDM 1250-AC (2),M-H MDDM 1250-AC (2),M-H MDDM 1250-AC (2),M-H MDDM 1250-AC (2),Hydralift HPS-1000 2E AC,Hydralift HPS-1000 2E AC,Hydralift HPS-1000 2E AC,M-H MDDM 1250-AC (2),NOV HPS-1000 & NOV HPS-500,Varco TDS-4S,Varco TDS-4S,Varco TDS-8S,Varco TDS-8S,Varco TDS-8S,Varco TDS-8SS (2),Varco TDS-8SS (2),Varco TDS-8SS (2),Varco TDS-1000 AC,Varco TDS-1000 AC,Varco TDS-1000 AC,Hydralift HPS-1000 2E AC/HPS-500 E AC,Hydralift HPS-1000 2E AC/HPS-500 E AC,Varco TDS-4S,CanRig,CanRig,CanRig,Varco TDS-4S,Varco TDS-3,HSMC,Varco TDS-4S,Varco TDS-4S,Varco TDS-4S,Varco TDS-3H,AKMH Model,AKMH Model
