NAME,Atwood Hunter,Atwood Hunter.1,Atwood Hunter.2,Atwood Hunter.3,Atwood Hunter.4,Atwood Hunter.5,Atwood Hunter.6,Atwood Hunter.7,Ocean Worker,Ocean Valiant,Ocean Victory,Ocean Endeavor,Ocean Monarch,Ocean Rover,Ocean Star,Blackford Dolphin,Ensco 5006,Ensco 5001,Noble Amos Runner,Noble Paul Romano,Noble Jim Thompson,Noble Max Smith,Noble Homer Ferrington,Noble Clyde Boudreaux,Noble Lorris Bouzigard,NobleTherald Martin,Noble Driller,Deepwater Nautilus,Transocean Marianas,Gsf Celtic Sea,Jack Bates,"M.G. Hulme, Jr",Transocean Richardson,Henry Goodrich,Jim Cunningham,Transocean Leader,Transocean Rather,Soverign Explorer,Aban Abraham,Hysy 981,Ocean Clipper,Ocean Confidence,Ocean Alliance,Ocean Courage,Ocean Valor,Belford Dolphin,Ensco 7500,Ensco 8500,Ensco 8501,Ensco 8502,Ensco 8503,Ensco 8504,Ensco 8505,Ensco DS-1,Ensco DS-2,Ensco 6001,Ensco 6002,Ensco 6004,Ensco 6003,Ensco DS-3,Ensco DS-4,Ensco DS-5,Ensco DS-6,LA Muralla IV,Jasper Explorer,Maersk Developer,Maersk Discoverer,Maersk Deliverer,Noble Paul Wolff,Noble Roger Eason,Noble Leo Segerius,Noble Muravlenko,Noble Dave Beard,Noble Danny Adkins,Noble Jim Day,Noble Phoenix,Noble Globetrotter I,Noble Bully I,Erik Raude,Leiv Eiriksson,Ocean Rig Corcovado,Ocean Rig Olympia,Ocean Rig Poseiden,Ocean Rig Mykonos,Deepsea Metro I,Deepsea Metro II,Deepsea  Stavanger,Deepsea  Atlantic,Pacific Bora,Pacific Scirocco,Pacific Mistral,Pacific Santa Ana,Louisiana,SSV Victoria,Gold Star,Alpha Star,Lone Star,Saipem 10000,Saipem12000,Scarabeo 5,Scarabeo 8,Scarabeo 9,SC Lancer,West Navigator,West Phoenix,West Eminence,West Sirius,West Taurus,West Hercules,West Aquarius,West Polaris,West Capella,West Orion,West Capricorn,West Pegasus,West Leo,West Gemini,Sevan Driller,Songa Eclipse,Stena Drillmax,Stena Carron,Stena Forth,Stena Icemax,Deepwater Asgard,Deepwater Invictus,Deepwater Champion,Transocean  Barents,Transocean Spitsbergen,Discoverer India,Discoverer Clear Leader,Discoverer Americas,Discoverer Inspiration,Petrobras 10000,Dhirubhai Deepwater KG1,Dhirubhai Deepwater KG2,Discoverer Luanda,Development Driller III,Deepwater Discovery,Deepwater Expedition,Deepwater Frontier,Deepwater Millennium,Deepwater Pathfinder,Discoverer Deep Seas,Discoverer Enterprise,Discoverer Spirit,GSF C.R. Luigs,GSF Jack Ryan,GSF Explorer,GSF Development Driller I,GSF Development Driller II,Deepwater Navigator,Sedco Energy,Sedco Express,Cajun Express,Discoverer 534,Sedco 707,Discoverer Seven Seas,Sedco 702,Sedco 706,Sedco 709,Sedco 710,Platinum Explorer,Titanium Explorer
BOP Operating Pressure (Ksi),10,10,10,15,15,15,15,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10 4.5 4 5 4,10,10,15,15,15,15,15,15,15,15,15,15,15,10,,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,15,15,15,15,,,15,15,15,15,15,10,10,15,15,15,10,15,15,15,15,15.0,15.0,15.0,15.0,,,,,15,15,15,15,,,,,,15,15,15,15,15,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,15.0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,10,15,15,10,10,15,10,15,15
C&K Line Size I.D. (In.),3.75,3.75,3.75,3,3,4.5,3,2.75,3,3,3,4.5,4.5,4.5,3,3,4,3.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,3,3,3,3,3,3,3,3,3,3,,3,4.5,3.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,3,3,3,3,4.5,4.5,4.5,4.5,,,4,4,4,3,3,4.5,3,4.5,4.5,4.5,3,4.5,4,4.5,4.5,,,,,,,,,4.5,4.5,4.5,4.5,,,,,,4.5,4.5,3,4.5,4,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,4.5,4.5,4.5,4.5,,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4.5,3,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,3,4.5,4.5,3,4.5,4,4.5,3,3,3,3,3,3,3,2016-01-03 00:00:00,2016-01-03 00:00:00
AUX. Line Size I.D. (In.),3.8/2.5,3.8/2.5,3.8/2.5,,2.5/4,2014-03-04 00:00:00,3,3,3,2.5/4,2.3/4,2014-03-04 00:00:00,4/2.32,2014-03-04 00:00:00,4,4,1x4.0/2x2.04,1x3.5/2x2.057,4.75,4,4,4,4,4,4,2,2.5,3.826,3.826,4,3.38,3.375/2.25,4.5,2.5,3.375/2.25,4,2.33/4,3.75,3.5,,4,4.5,3.5,4/3.5,4/3.5,4,4.00/2.44(2),3.826/2.44(2),3.826/2.44(2),3.826/2.44(2),3.826/2.44(2),3.826/2.44(2),3.826/2.44(2),3.343/1.875(2),3.343/1.875(2),3.364/2.323(2),3.364/2.323(2),3.364/2.323(2),3.364/2.323(2),4.0/2.62(2),4.0/2.62(2),4.0/2.62(2),4.0/2.62(2),,,4.5,4.5,4.5,3,3,4,3,4.5,4.5,4.5,3,2.32/5,2,4,4,,,,,,,,,4/2.333,4/2.333,4/2.333,4/2.333,,,,,,4.5,4.5,4.5,4.5,4/3.5,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,3.5,3.5,3.5,3.5,3.5,,,4.5/4.5,4.5/4.5,4.5/4.5,4.5/4.5,,,4,4,4,4.5,4.5,4.5,4.5,4,4,4,4.5,6,4,3,3.826,3.826,3.826,3.826,3.826,3.826,4,4,4,6,6,4,4,3.826,4,3.826,4,3.73,4,4,3,3.826,3.5,3.5
AUX. Lines On Riser,2,2,2,2,4,4,4,3,1,4,4,4,4,4,4,1,3,3,4,4,4,4,4,5,5,5,3,4,2,4,1,2,1,1,2,1,2,1,1,,4,4,4,5,5,1,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,,,5,5,5,3,3,5,2,5,5,5,5,2,4,,,,,,,,,,,1 + 2,1 + 2,1 + 2,1 + 2,,,,,,4,4,3,4,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,5,5,5,,,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,2,1,2,2,2,4,4,4,5,5,5,3,3,3,2,1,1,1,1,1,1,2,3
No.of RAM BOP’s,4,4,4,5,4,5,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4,4,5,4,4,6,5,4,4,4,4,4,5,4,4,4,4,4,,5,6,4,6,6,5,6,6,6,6,6,6,6,4,4,4,4,4,4,6,6,6,6,,1,6,6,6,5,4,4,4,6,6,6,4,6,6,,,,,,,,,,,6,6,6,6,,,,,,5,6,4,5,5,1,5,5,5,5,5,5,5,6,6,5,5,6,6,6,,,5,6,5,6,7,7,6,5,5,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,5,6
No.of RAM BOP’s,Cameron,Cameron,Cameron,Hydril,Hydril,Hydril,Hydril,Shaffer,Cameron,Cameron,Shaffer,Hydril,Hydril,Hydril,Shaffer,Hydril,Cameron,Cameron,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Cameron,Cameron,Cameron,Cameron,Hydril,Cameron,Cameron,Cameron,Hydril,Shaffer,Hydril,Cameron,Hydril,Cameron,Cameron,,Shaffer,Shaffer,Shaffer,Cameron,Cameron,Hydril,Hydril,Hydril,Hydril,Hydril,Hydril,Hydril,Hydril,Cameron,Cameron,Cameron,Cameron,Cameron,Cameron,NOV,Nov,Nov,Nov,,Cameron,Hydril,Hydril,Hydril,Shaffer,Hydril,Shaffer,Cameron,Shaffer,Shaffer,Shaffer,Cameron,NOV,Cameron,Cameron,Cameron,,,,,,,,,NOV-Shaffer,NOV-Shaffer,NOV-Shaffer,NOV-Shaffer,,,,,,Shaffer,Shaffer,Cameron,Cameron,Shaffer,Cameron,Hydril,Cameron,Cameron,Cameron,Cameron,Cameron,Cameron,Shaffer,Shaffer,Cameron,Cameron,Shaffer,Shaffer,Shaffer,,,Cameron,Cameron,Cameron,Cameron,Cameron,Cameron,Hydril,Cameron,Cameron,Hydril,Hydril,Hydril,Hydril,Shaffer,Shaffer,Shaffer,Hydril,Hydril,Cameron,Cameron,Cameron,Cameron,Cameron,Hydril,Hydril,Hydril,Cameron,Cameron,Cameron,Hydril,Hydril,Cameron,Cameron,Cameron,Cameron,Shaffer,Hydril,Hydril,Cameron,Cameron,Hydril,Cameron,Cameron,Cameron
No.of Annular BOP’s,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,,,2,2,2,1,2,2,2,2,2,2,2,2,,,,,,,,,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Manfacturer Annular BOP’s,Shaffer,Shaffer,Shaffer,Hydril,Cam./Hyd.,Hydril,Hydril,Hydril,Shaffer,Cameron,Shaffer,Hydril,Hydril,Hydril,Shaffer,Hydril,Hydril,Hydril,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer/Hyd.,Shaffer/Hyd.,Hydril,Cameron,Shaffer,Shaffer,Cameron,Cameron,Shaffer,Shaffer,Hydril,Hydril,Shaffer,Shaffer,Shaffer,,Shaffer,Shaffer,Shaffer,Cameron,Cameron,Hydril,Hydril,Hydril,Hydril,Hydril,Hydril,Hydril,Hydril,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,NOV,Nov,Nov,Nov,,Hydril,Hydril,Hydril,Hydril,Shaffer,Hydril,Shaffer,Shaffer,Shaffer,Shaffer,Shaffer,Hydril,NOV,Cameron,Cameron,Cameron,,,,,,,,,NOV-Shaffer,NOV-Shaffer,NOV-Shaffer,NOV-Shaffer,,,,,,Shaffer,Shaffer,Cameron,Cameron,Shaffer,Hydril,Hydril,Cameron,Cameron,Cameron,Cameron,Cameron,Cameron,Shaffer,Shaffer,Cameron,Cameron,Shaffer,Shaffer,Shaffer,,,Cameron,Cameron,Cameron,Cameron,Cameron,Cameron,Hydril,Cameron,Cameron,Hydril,Hydril,Hydril,Hydril,Shaffer,Shaffer,Shaffer,Hydril,Hydril,Cameron,Cameron,Cameron,Cameron,Cameron,Hydril,Hydril,Hydril,Shaffer,Shaffer,Shaffer,Hydril,Hydril,Cameron,Cameron,Cameron,Cameron,Shaffer,Hydril,Shaffer,Shaffer,Shaffer,Shaffer,Hydril,Cameron,Cameron
"BOP stack envelope dimension, Length",13,13,13,,14.5,16.75,13.67,16.79,12,14.5,16.67,16.4,16.4,16.4,14.5,,,,17,19,19,19,15,15,17,17,15,13.8,17.5,12,15.6,12.8,17.8,,15.5,16.6,10,20.5,1310,,19.67,19.67,16.67,15.75,15.75,,16.6,16.6,16.6,16.6,16.6,16.6,16.6,,,16.3,16.3,16.3,16.3,20.8,20.8,20.8,20.8,,,166,166,166,17,16,13,17,15,15,15,15,15,16,,,,,,,,,,,18,18,18,18,,,,,,17.7,17.7,10.5,"12,5",14,,,,,,,,,,,,,,,,,,16.7,16.7,16.7,16.7,,,,,,18,18,18,18,,,,18,,18.3,17,18.5,18.5,18.5,18.5,18.5,18.5,15,15,12,18,18,17,19.7,19.6,19.6,10,18,12,17.9,17.9,14,,46,46
"BOP stack envelope dimension, Breadth (ft.)",15,15,15,,19.6,19.6,16.8,22.45,16.5,19.6,16.67,19.6,19.6,19.6,16.67,,,,19,17,17,17,19,19,19,19,21,17.5,146,16,12.55,12.2,12.8,,10,154,10,16.5,13,,16.25,16.25,16.67,18.04,18.04,,19,19,19,19,19,19,19,,,15.2,15.2,15.2,15.2,17.8,17.8,17.8,17.8,,,198,198,198,19,18,13,19,19,20,15 x 20,20,19,20,,,,,,,,,,,21,21,21,21,,,,,,19.7,19.7,16,14.8,14,,,,,,,,,,,,,,,,,,13.1,13.1,13.1,13.1,,,,,,15,15,15,15,,,,15,,15.8,9 746,10.8,13.5,11,15,15,15,20,20,17,15,15,15,16.4,16.4,16.4,10,16,11.5,14,14,13,,40,40
