NAME,ATWOOD HUNTER,ATWOOD EAGLE,ATWOOD  FALCON,ATWOOD OSPREY,OCEAN AMERICA,OCEAN BARONESS,OCEAN QUEST,OCEAN WINNER,OCEAN WORKER,OCEAN VALIANT,OCEAN VICTORY,OCEAN ENDEAVOR,OCEAN MONARCH,OCEAN ROVER,OCEAN STAR,BLACKFORD DOLPHIN,ENSCO 5006,ENSCO 5001,NOBLE AMOS RUNNER,NOBLE PAUL ROMANO,NOBLE JIM THOMPSON,NOBLE MAX SMITH,NOBLE HOMER FERRINGTON,NOBLE CLYDE BOUDREAUX,NOBLE LORRIS BOUZIGARD,NOBLE THERALD MARTIN,NOBLE DRILLER,DEEPWATER NAUTILUS,TRANSOCEAN MARIANAS,GSF CELTIC SEA,JACK BATES,"M.G. HULME, JR",TRANSOCEAN RICHARDSON,HENRY GOODRICH,JIM CUNNINGHAM,TRANSOCEAN LEADER,TRANSOCEAN RATHER,SOVEREIGN EXPLORER,ABAN ABRAHAM,HYSY 981,OCEAN CLIPPER,OCEAN CONFIDENCE,OCEAN ALLIANCE,OCEAN COURAGE,OCEAN VALOR,BELFORD DOLPHIN,ENSCO 7500,ENSCO 8500,ENSCO 8501,ENSCO 8502,ENSCO 8503,ENSCO 8504,ENSCO 8505,ENSCO DS-1,ENSCO DS-2,ENSCO 6001,ENSCO 6002,ENSCO 6004,ENSCO 6003,ENSCO DS-3,ENSCO DS-4,ENSCO DS-5,ENSCO DS-6,LA MURALLA IV,JASPER EXPLORER,MÆRSK DEVELOPER,MAERSK DISCOVERER,MÆRSK DELIVERER,NOBLE PAUL WOLFF,NOBLE ROGER EASON,NOBLE LEO SEGERIUS,NOBEL MURAVLENKO,NOBLE DAVE BEARD,NOBLE DANNY ADKINS,NOBLE JIM DAY,NOBLE PHOENIX,NOBLE GLOBETROTTER I,NOBLE BULLY I,ERIK RAUDE,LEIV EIRIKSSON,OCEAN RIG CORCOVADO,OCEAN RIG OLYMPIA,OCEAN RIG POSEIDEN,OCEAN RIG MYKONOS,DEEPSEA METRO I,DEEPSEA METRO II,DEEPSEA STAVANGER,DEEPSEA  ATLANTIC,Pacific Bora,Pacific Scirocco,Pacific Mistral,Pacific Santa Ana,Louisiana,SSV Victoria,GOLD STAR,ALPHA STAR,LONE STAR,SAIPEM 10000,SAIPEM 12000,SCARABEO 5,SCARABEO 8,SCARABEO 9,SC LANCER,WEST NAVIGATOR,WEST PHOENIX,WEST EMINENCE,WEST SIRIUS,WEST TAURUS,WEST HERCULES,WEST AQUARIUS,WEST POLARIS,WEST CAPELLA,WEST ORION,WEST CAPRICORN,WEST PEGASUS,WEST LEO,WEST GEMINI,Sevan Driller,SONGA ECLIPSE,STENA DRILLMAX,STENA CARRON,STENA FORTH,STENA ICEMAX,DEEPWATER ASGARD,DEEPWATER INVICTUS,DEEPWATER CHAMPION,TRANSOCEAN BARENTS,TRANSOCEAN SPITSBERGEN,DISCOVERER INDIA,DISCOVERER CLEAR LEADER,DISCOVERER AMERICAS,DISCOVERER INSPIRATION,PETROBRAS 10000,DHIRUBHAI DEEPWATER KG1,DHIRUBHAI DEEPWATER KG2,DISCOVERER LUANDA,DEVELOPMENT DRILLER III,DEEPWATER DISCOVERY,DEEPWATER EXPEDITION,DEEPWATER FRONTIER,DEEPWATER MILLENNIUM,DEEPWATER PATHFINDER,DISCOVERER DEEP SEAS,DISCOVERER ENTERPRISE,DISCOVERER SPIRIT,GSF C.R. LUIGS,GSF JACK RYAN,GSF EXPLORER,GSF DEVELOPMENT DRILLER I,GSF DEVELOPMENT DRILLER II,DEEPWATER NAVIGATOR,SEDCO ENERGY,SEDCO EXPRESS,CAJUN EXPRESS,DISCOVERER 534,SEDCO 707,DISCOVERER SEVEN SEAS,SEDCO 702,SEDCO 706,SEDCO 709,SEDCO 710,PLATINUM EXPLORER,TITANIUM EXPLORER
RIG INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VESSEL TYPE,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,,SS,SS,SS,SS,SS,SS,SS,SS F&G 9500,SS,SS,SS,DS,SS,DS,SS,SS,SS,SS,DS,SS,SS,SS,SS,SS,SS,SS,DS,DS,SS,SS,SS,SS,DS,DS,DS,DS,SS,DS,SS,SS,SS,SS,DS,DS,DS,SS,SS,SS,SS,DS,"DS Gusto, MSC Bully PRD",SS,SS,DS,DS,DS,DS,DS,DS,SS,SS,DS,DS,DS,DS,SS,SS,SS,SS,SS,DS,DS,SS,SS,SS,DS,DS,SS,SS,SS,SS,SS,SS,DS,DS,SS,SS,SS,SS,DS,SS,SS,DS,DS,DS,DS,DS,DS,DS,SS,SS,DS,DS,DS,DS,DS,DS,DS,DS,SS,DS,DS,DS,DS,DS,DS,DS,DS,DS,DS,DS,SS,SS,DS,SS,SS,SS,DS,SS,DS,SS,SS,SS,SS,DS,DS
VESSEL DESIGN,Korkut New Era,Korkut New Era,Korkut New Era,F&G ExD Millennium,Odyssey,Victory,Victory,Enhanced Aker H-3,Enhanced Pacesetter 9500,Odyssey,Victory,Victory,Victory,Victory,Victory,Deepwater,Bingo 8000,Sonat,EVA-4000™,EVA-4000™,EVA-4000™,EVA-4000™,Enhanced Pacesetter,Modified Enhanced Pacesetter,Pentagon-85,Pentagon,Aker H-3 Semi (Enhanced),RBS-8M,Sedco 700 Series,F&G L907 Enhanced Pacesetter,F&G L1020 Trendsetter,F&G 9500 Enhanced Pacesetter,GVA 4500,Sonat/Mitsui SES-5000,Enhanced Pacesetter,Aker H-4.2,GVA 4500,Enhanced GVA 4000,Gusto Pelican Class,,Converted Tanker,Aker H-3.2 Mod,4th Gen. Odeco,6th Gen. F&G ExD Millennium,6th Gen. F&G ExD Millennium,Navis,Ensco  7500,Ensco 8500,Ensco 8500,Ensco 8500,Ensco 8500,Ensco 8500,Ensco 8500,"Gusto 10,000","Gusto 10,000",Megathyst,Megathyst,Megathyst,Megathyst,Samsung,Samsung,Samsung,Samsung,F&G ExD Millennium,Gusto Pelican Class,KFELS MSC GUSTO DSS21,KFELS MSC GUSTO DSS21,KFELS MSC GUSTO DSS21,EVA-4000™,"Conv n, Neddrill","Gusto, Mod. Pelican","Gusto, Mod. Pelican",Modified Enhanced Pacesetter,Bingo 9000,Bingo 9000,IHC Gusto BV Pelican,Globetrotter,2008,Bingo 9000,Bingo 9000,Saipem 10000,Saipem 10001,Saipem 10002,Saipem 10003,Gusto,Gusto,GVA 7500,GVA 7500,"Samsung 10,000","Samsung 12,000","Samsung 12,000","Samsung 12,000",F&G L-900 Pacesetter,GVA 7500,Gusto DSS-38,Gusto DSS-38,Gusto YDS-2000 PLUS,Samsung Heavy Industries,Samsung Heavy Industries,ME4500,Moss CD50 MKII,Frigstad D-90 DRR,Gusto Pelican Ice Class II,MST Converted to Drillship,Moss CS50 MkII,Moss CS50 MkII,"Friede & Goldman, ExD Class","Friede & Goldman, ExD Class",GVA 7500,GVA 7500,"Samsung 10,000","Samsung 10,000","Friede & Goldman, ExD Class","Friede & Goldman, ExD Class",Moss CS50 MkII,Moss CS50 MkII,"Samsung 10,000",Sevan 650,Friede & Goldman ExD,Stena/Samsung,Stena/Samsung,Stena/Samsung,Stena/Samsung,DSME 12000 Ultradeepwater  DS,DSME 12000 Ultradeepwater DS,Transocean/MSC Gusto P10000,Aker H-6e,Aker H-6e,Enhanced Enterprise Class,Enhanced Enterprise Class,Enhanced Enterprise Class,Enhanced Enterprise Class,Samsung 10000,Samsung 10000,Samsung 10000,Enhanced Enterprise Class,Keppel Fels MSC DSS 51,RBF/Samsung,Rauma Repola Arctic,Conoco/Reading & Bates,Conoco/Reading & Bates,Conoco/Reading & Bates,Enterprise Class 2001,Enterprise Class,Enterprise Class,Global Marine 456 Class,Global Marine 456 Class,Global Santa Fe,F&G ExD,F&G ExD,Earl & Wright Sedco 400,SFXpress,SFXpress,SFXpress,Sonat Discoverer,Sedco 700 Series,Sonat Discoverer,Sedco 700 Series,Sedco 700 Series,Sedco 700 Series,Sedco 700 Series,DSME Design 2010,DSME Design
CONSTRUCTION DATE (yr.),1981,1982,1983,2011,1988,1973,1973,1976,1982,1988,1973,1975,1974,1973,1973,Enhanced Aker H-3 1974,1999,1974,1982,1981,1982,1980,1984,1987,1975,1975,1975,1999,1979,1982,1986,1983,1988,1985,1982,1987,1988,1984,1976,2012,1977,1988,1988,2009,2009,2000,2000,2009,2009,2010,2010,2011,2012,1999,1999,2000,2000,2000,2000,2010,2010,2011,2011,2010,2009,2009,2009,2010,1982,1977,1981,1982,1986,1999,1999,1979,2010,2011,2002,2002,2011,2011,2011,2011,2011,2012,2010,2011,2010,2011,2012,2013,1998,2009,2009,2009,2009,2000,2010,1990,2012,2011,1977,2000,2008,2009,2008,2008,2008,2009,2008,2008,2010,2011,2011,2012,2010,2009,,2007,2008,2009,2012,2014,2014,2011,2009,2009,2010,2009,2009,2010,2009,2009,2010,2010,2009,2000,1999,1999,1999,1998,,1999,2000,2000,2000,1972,2005,2005,1971,2000,2000,2000,1975,1976,1976,1973,1976,1977,1983,,2012
UPGRADE DATE (yr.),2001,2002,98/06/11,,2004,2001,1996,-,-,1999,1997,2007,2008,2002,1996,2008,1999,1999,1999,1998,1999,1999,1999,2007,2003,2003,2009,,1998,1998,1997,1996,,2007,1995,1997,1995,,2008,,1999,2000,-,-,-,,-,-,-,-,-,-,-,2004/2009,2005,2009,2010,2010,2010,,,,,,,,,,2006,1998,1997,1997,2008,2009,2010,2009,,,,,,,,,,,,,,,,,,,,,,,,2003,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,,,2000,2001,2001,2001,1991,1997,1997,2007,2008,1999,2001,,
CLASSIFICATION (society),ABS,ABS,ABS,ABS,ABS,ABS,ABS,DNV,ABS,ABS,ABS,ABS,ABS,ABS,ABS,DNV,DNV,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,DNV,ABS,ABS,ABS,ABS,ABS,DNV,DNV,ABS,DNV,DNV,DNV,DNV,ABS,ABS,ABS,ABS,ABS,ABS,DNV,ABS,ABS,ABS,ABS,ABS,ABS,ABS,DNV,DNV,LR,LR,LR,LR,ABS,ABS,ABS,ABS,,DNV,ABS,ABS,ABS,ABS,BV,ABS,BV,ABS,ABS,ABS,DNV,ABS,DNV,DNV,DNV,ABS,ABS,ABS,ABS,DNV,DNV,NMD,NMD,ABS,ABS,ABS,ABS,,,ABS,ABS,ABS,ABS,ABS,ABS,DNV,DNV,,DNV,DNV,DNV,ABS,ABS,DNV,DNV,ABS,ABS,ABS,ABS,DNV,DNV,ABS,,ABS,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,ABS,ABS,ABS,DNV,ABS,ABS,DNV,ABS,ABS,ABS,DNV,DNV,DNV,ABS,ABS,ABS,ABS,ABS,DNV,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS
RIG RATING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXIMUM WATER DEPTH EQUIPPED (ft.),"5,000 ft.","5,000 ft.","5,000 ft.","8,200 ft.","5,500 ft.","7,000 ft.","3,500 ft.","3,500 ft.","3,500 ft.","5,500 ft.","5,500 ft.","8,000 ft.","8,000 ft.","8,000 ft.","5,500 ft.","6,000 ft.","5,000 ft.","5,000 ft.","8,000 ft.","6,000 ft.","6,000 ft.","7,000 ft.","7,200 ft.","7,500 ft.","4,000 ft.","2,350 ft.","5,000 ft.","8,000 ft.","7,000 ft.","5,750 ft.","5,400 ft.","5,000 ft.","5,000 ft.","5,000 ft.","4,600 ft.","4,500 ft.","5,000 ft.","4,500 ft.","6,600 ft.","9,840 ft.","7,875 ft.","10,000 ft.","5,250 ft.","10,000 ft.","7,500 ft.","10,000 ft.","7,500 ft.","8,500 ft.","8,500 ft.","8,500 ft.","8,500 ft.","8,500 ft.",,"6,000 ft.","6,000 ft.","5,600 ft.","5,600 ft.","5,600 ft.","5,600 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","7,500 ft.","5,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","9,200 ft.","7,200 ft.","5,500 ft.","4,900 ft.","7,500 ft.","12,000 ft.","12,000 ft.","5,000 ft.","10,000 ft.","8,250 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","9,840 ft.","9,840 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","6,234 ft.","7,874 ft.","9,000 ft.","9,000 ft.","7,880 ft.","10,000 ft.","12,000 ft.","6,500 ft.","10,000 ft.","10,000 ft.","4,920 ft.","7,500 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","7,500 ft.","10,000 ft.","10,000 ft.","10,000 ft.","12,500 ft.","7,500 ft.","7,500 ft.","7,500 ft.","7,500 ft.","7,500 ft.","10,000 ft.","10,000 ft.","10,000 ft.","6,500 ft.","6,500 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","12,000 ft.","7,500 ft.","7,500 ft.","10,000 ft.","8,500 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","7,800 ft.","7,500 ft.","7,500 ft.","7,200 ft.","7,500 ft.","7,500 ft.","8,500 ft.","7,000 ft.","6,500 ft.","7,000 ft.","6,500 ft.","6,500 ft.","5,000 ft.","4,500 ft.","10,000 ft.","12,000 ft."
MAXIMUM WATER DEPTH RATING (ft.),"5,000 ft.","5,000 ft.","5,000 ft.","8,200 ft.","5,500 ft.","8,000 ft.","4,000 ft.","4,000 ft.","4,000 ft.","5,500 ft.","5,500 ft.","10,000 ft.","10,000 ft.","8,000 ft.","5,500 ft.","7,000 ft.","7,500 ft.","5,000 ft.","8,000 ft.","6,000 ft.","8,000 ft.","7,000 ft.","7,200 ft.","10,000 ft.","4,000 ft.","4,000 ft.","5,000 ft.","8,000 ft.","7,000 ft.","5,750 ft.","5,400 ft.","5,000 ft.","5,000 ft.","5,000 ft.","4,600 ft.","4,500 ft.","5,000 ft.","4,500 ft.","7,000 ft.","9,840 ft.","7,875 ft.","10,000 ft.","5,250 ft.","10,000 ft.","10,000 ft.","10,000 ft.","8,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","5,600 ft.","5,600 ft.","5,600 ft.","5,600 ft.","10,000 ft.","12,000 ft.","12,000 ft.","12,000 ft.","10,000 ft.","5,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","9,200 ft.","7,200 ft.","5,500 ft.",4900 ft.,"10,000 ft.","12,000 ft.","12,000 ft.","5,000 ft.","10,000 ft.","8,250 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","12,000 ft.","12,000 ft.","9,840 ft.","9,840 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","6,234 ft.","10,000 ft.","9,000 ft.","9,000 ft.","7,880 ft.","10,000 ft.","12,000 ft.","6,500 ft.","10,000 ft.","12,000 ft.","4,920 ft.","8,200 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","12,500 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","12,000 ft.","12,000 ft.","12,000 ft.","10,000 ft.","10,000 ft.","12,000 ft.","12,000 ft.","12,000 ft.","12,000 ft.","12,000 ft.","12,000 ft.","12,000 ft.","12,000 ft.","10,000 ft.","10,000 ft.","8,500 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","10,000 ft.","7,800 ft.","10,000 ft.","10,000 ft.","7,200 ft.","7,500 ft.","7,500 ft.","8,500 ft.","7,000 ft.","6,500 ft.","7,000 ft.","6,500 ft.","6,500 ft.","5,000 ft.","4,500 ft.","12,000 ft.","12,000 ft."
MAXIMUM DRILLING DEPTH (ft.),"25,000 ft.","25,000 ft.","25,000 ft.","32,000 ft.","30,000 ft.","35,000 ft.","25,000 ft.","25,000 ft.","25,000 ft.","30,000 ft.","25,000 ft.","35,000 ft.","35,000 ft.","35,000 ft.","30,000 ft.","30,000 ft.","25,000 ft.","25,000 ft.","32,500 ft.","28,000 ft.","30,000 ft.","25,000 ft.","25,000 ft.","35,000 ft.","25,000 ft.","25,000 ft.","35,000 ft.","30,000 ft.","25,000 ft.","28,000 ft.","30,000 ft.","25,000 ft.","25,000 ft.","30,000 ft.","25,000 ft.","25,000 ft.","25,000 ft.","25,000 ft.","25,000 ft.","32,800 ft.","25,000 ft.","35,000 ft.","25,000 ft.","40,000 ft.","40,000 ft.","37,000 ft.",35000,"35,000 ft.","35,000 ft.","35,000 ft.","35,000 ft.","35,000 ft.","35,000 ft.","31,500 ft.","31,500 ft.","25,000 ft.","25,000 ft.","25,000 ft.","25,000 ft.","40,000 ft.","40,000 ft.","40,000 ft.","40,000 ft.","40,000 ft.","25,000 ft.","30,000 ft.+","30,000 ft.+","30,000 ft.+","23,000 ft.","23,000 ft.","23,000 ft.","23,000 ft.","35,000 ft.","37,000 ft.","37,000 ft.","30,000 ft.","40,000 ft.","40,000 ft.",,,"35,000 ft.","35,000 ft.","35,000 ft.","35,000 ft.","40,000 ft.","40,000 ft.","37,500 ft.","37,500 ft.","37,500 ft.","37,500 ft.","37,500 ft.","37,500 ft.","30,000 ft.","35,000 ft.","30,000 ft.","24,600 ft.","24,600 ft.","30,000 ft.","25,000 ft.","25,000 ft.","35,000 ft.","50,000 ft.","19,680 ft.","35,000 ft.","30,000 ft.","30,000 ft.","37,500 ft.","37,500 ft.","35,000 ft.","35,000 ft.","37,500 ft.","37,500 ft.","37,500 ft.","37,500 ft.","35,000 ft.","35,000 ft.","37,500 ft.","40,000 ft.","40,000 ft.","35,000 ft.","35,000 ft.","35,000 ft.","35,000 ft.","40,000 ft.","40,000 ft.","40,000 ft.","30,000 ft.","30,000 ft.","40,000 ft.","40,000 ft.","40,000 ft.","40,000 ft.","37,500 ft.","35,000 ft.","35,000 ft.","40,000 ft.","37,500 ft.","30,000 ft.","30,000 ft.","30,000 ft.","30,000 ft.","30,000 ft.","35,000 ft.","35,000 ft.","35,000 ft.","35,000 ft.","35,000 ft.","30,000 ft.","37,500 ft.","37,500 ft.","25,000 ft.","30,000 ft.","30,000 ft.","35,000 ft.","25,000 ft.","19,685 ft.","25,000 ft.","25,000 ft.","25,000 ft.","25,000 ft.","25,000 ft.","40,000 ft.","40,000 ft."
