scenario_id,time_s,x_m,y_m,heading_deg,yaw_rate_deg_s,rudder_command_deg,rudder_inflow_angle_deg,effective_rudder_angle_deg,rudder_local_speed_m_s,prop_rotation_factor,prop_rotation_factor_basis,diagnostic_transverse_force_N,diagnostic_normal_force_N,diagnostic_yaw_moment_kN_m
positive_rudder,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.2861,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,2509.337143354609,2509.337143354609,-339.51331549587866
positive_rudder,1.0,1.2860999999790195,7.346186021381566e-06,0.00032727272727272726,0.00032727272727272726,1.0,0.0344296669545534,0.9655703330454466,1.2861002322015886,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,2422.9507010082148,2422.9507010082148,-327.8252298464115
positive_rudder,2.0,2.5721999997967586,2.8998250327948257e-05,0.000964599877591733,0.0006373271503190056,1.0,0.06704791546328205,0.9329520845367181,1.2861008805829772,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,2341.1099287306292,2341.1099287306292,-316.7521733572542
positive_rudder,3.0,3.8582999990928366,7.154972559809188e-05,0.0018956690346624099,0.0009310691570706767,1.0,0.09795003050280261,0.9020499694971974,1.2861018793564454,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,2263.5755196967357,2263.5755196967357,-306.2617678149684
positive_rudder,4.0,5.14439999720428,0.00014124724939837527,0.003105026015258157,0.0012093569805957472,1.0,0.12722628920329226,0.8727737107967077,1.286103170692247,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,2190.1207823935497,2190.1207823935497,-296.3233418578473
positive_rudder,5.0,6.430499993098868,0.00024400881519483295,0.004578029719740177,0.0014730037044820199,1.0,0.1549622232109041,0.845037776789096,1.2861047038393232,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,2120.5309730359013,2120.5309730359013,-286.9078406517575
positive_rudder,6.0,7.716599985322225,0.0003854410631890932,0.0063008093565444095,0.0017227796368042326,1.0,0.1812388674479548,0.8187611325520452,1.2861064343394328,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,2054.60266369247,2054.60266369247,-277.9877403975912
positive_rudder,7.0,9.00269997195679,0.0005708556614706089,0.008260223916060143,0.001959414559515734,1.0,0.20613299595271398,0.793867004047286,1.2861083233249595,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1992.1431441549003,1992.1431441549003,-269.536967404158
positive_rudder,8.0,10.28879995059102,0.0008052848253260892,0.010443823775818338,0.002183599859758196,1.0,0.22971734545019765,0.7702826545498024,1.2861103368916642,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1932.969855699523,1932.969855699523,-261.5308214761455
positive_rudder,9.0,11.574899918297383,0.0010934960200352428,0.012839814325069959,0.0023959905492516188,1.0,0.2520608272756831,0.747939172724317,1.2861124455385549,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1876.9098549998353,1876.9098549998353,-253.94590338147773
positive_rudder,10.0,12.860999871617851,0.0014400058901011112,0.015437021502681322,0.0025972071776113655,1.0,0.2732287282438238,0.7267712717561762,1.286114623667848,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1823.7993065491544,1823.7993065491544,-246.76004617610062
positive_rudder,11.0,14.147099806555788,0.0018490934556068819,0.018224859147819957,0.002787837645138635,1.0,0.2932829010283066,0.7067170989716933,1.2861168491387287,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1773.4830020472996,1773.4830020472996,-239.95225017699966
positive_rudder,12.0,15.433199718573235,0.002324812614252706,0.021193298068164987,0.0029684389203450323,1.0,0.3122819445900097,0.6877180554099903,1.286119102869263,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1725.8139052934737,1725.8139052934737,-233.502621386207
positive_rudder,13.0,16.71929960259274,0.0028710039855996345,0.0243328367353652,0.0031395386672002103,1.0,0.3302813751656266,0.6697186248343734,1.2861213684814026,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1680.6527212100812,1680.6527212100812,-227.392313179724
positive_rudder,14.0,18.005399453002983,0.003491306132127543,0.02763447352219847,0.0033016367868332745,1.0,0.34733378830371997,0.65266621169628,1.2861236319845506,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1637.8674876996186,1637.8674876996186,-221.6034710857584
positive_rudder,15.0,19.291499263667514,0.0041891661898943115,0.03108968040037174,0.00345520687817327,1.0,0.36348901241117654,0.6365109875888235,1.286125881493617,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1597.3331891092723,1597.3331891092723,-216.11918048648457
positive_rudder,16.0,20.577599027936063,0.004967849939859395,0.03469037802215275,0.0036006976217810077,1.0,0.378794254250042,0.621205745749958,1.2861281069779267,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1558.9313901459989,1558.9313901459989,-210.9234170867537
positive_rudder,17.0,21.863698738657906,0.00583045134930122,0.03842891211305591,0.003738534090903157,1.0,0.3932942368027088,0.6067057631972911,1.2861303000377156,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1522.549889148784,1522.549889148784,-206.00100000183048
positive_rudder,18.0,23.149798388196853,0.006779901611209935,0.042298031106625396,0.0038691189935694857,1.0,0.40703132990239976,0.5929686700976002,1.2861324537052883,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1488.0823896849297,1488.0823896849297,-201.337547324371
positive_rudder,19.0,24.43589796844749,0.007818977708070414,0.0462908649559801,0.003992833849354709,1.0,0.42004567400580234,0.5799543259941977,1.2861345622682194,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1455.4281894938013,1455.4281894938013,-196.91943403851133
positive_rudder,20.0,25.72199747085236,0.008950310525060828,0.050400905060217376,0.00411004010423727,1.0,0.43237529746555675,0.5676247025344433,1.2861366211122531,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1424.491885854721,1424.491885854721,-192.73375215614377
positive_rudder,21.0,27.008096886419796,0.010176392536375522,0.05462198524702524,0.0042210801868078655,1.0,0.44405622764203306,0.5559437723579669,1.2861386265817971,1.0,Cr=1.0 neutral time-trace diagnostic value: non-rotating propeller or no workbook propeller-rotation correction applied,1395.183096505887,1395.183096505887,-188.76827295724655
