Unnamed: 0,Unnamed: 1,H T,Unnamed: 3,Unnamed: 5,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
No.,% Occurrence,?2 (toward) m s1 s p1,Hs2 m,Tp2 s,?1,?2,?1 (toward),
291,15.3,0.91 12,0.76,7.7,7.0,2.1,27,21
231,12.1,0.61 11,0.70,7.2,7.3,1.6,25,23
208,10.9,0.61 12,0.70,7.7,7.3,1.8,29,19
154,8.1,0.91 11,0.76,7.2,7.1,1.8,22,23
117,6.1,1.22 12,0.82,8.1,7.4,2.9,27,22
103,5.4,0.61 10,0.73,6.3,5.4,1.4,21,27
94,4.9,0.91 13,0.76,8.4,7.5,2.3,30,18
90,4.7,1.22 13,0.85,8.2,7.2,2.2,32,21
72,3.8,0.61 13,0.79,7.9,7.1,2.2,33,19
65,3.4,0.91 14,0.88,8.7,7.5,2.4,33,17
63,3.3,0.61 14,0.79,8.9,7.7,2.3,35,18
52,2.7,1.52 13,0.91,8.7,8.1,2.4,29,22
47,2.5,1.22 14,0.98,9.4,8.3,2.7,31,21
37,1.9,1.52 14,0.98,9.4,7.3,3.1,32,19
36,1.9,1.22 11,0.88,7.7,7.5,2.0,21,22
35,1.8,0.91 10,0.76,5.9,4.0,1.4,21,31
32,1.7,0.61 15,0.91,9.6,8.4,2.4,32,22
29,1.5,0.91 15,0.88,9.4,8.7,2.9,34,17
28,1.5,0.30 12,0.61,8.6,8.7,3.3,32,15
27,1.4,1.52 12,0.82,8.6,7.5,5.0,27,21
26,1.4,0.30 11,0.76,7.0,8.1,1.9,28,18
24,1.3,1.52 15,1.01,9.8,8.1,2.5,31,20
,,,,,,,,"--`,,`,,`,,,,`,```,`,,,````,`,`-`-`,,`,,`,`,,`---"
23,1.2,1.83 14,0.88,8.7,7.0,1.7,32,18
20,1.1,0.61 17,1.04,10.2,9.0,2.8,31,23
