Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Load Case,Return Period (years),,,,,
1,5,10.0,25.0,50.0,100,
,,,,,,
Wind speed (10 m elevation),,,,,,
1 h mean (m/s),18.1,20.0,20.8,22.9,24.2,25.6
10 min mean (m/s),19.5,21.6,22.5,24.9,26.4,28.0
1 min mean (m/s),21.3,23.7,24.8,27.5,29.2,31.0
3 s gust (m/s),23.7,26.5,27.7,30.8,32.8,35.0
Waves,,,,,,
Significant wave height (m),4.9,6.0,6.4,7.2,"7.6 --`,,`,,`,,","8.3 ,`,```,`,,,````,`,`-`-`,,"
Maximum wave height (m),8.9,10.9,11.6,13.1,13.8,15.1
Extreme water level (m),5.3,6.5,7.0,7.8,8.3,9.0
Peak spectral period (s),9.8,10.8,11.1,11.8,12.0,12.5
Period of maximum wave (s),8.9,9.7,10.0,10.6,10.8,11.3
Currents,,,,,,
Speed (m/s),0.40,0.47,0.55,0.65,0.72,0.79
Depth (m),75,75.0,75.0,75.0,75,75
Water level,,,,,,
Surge (m),0.06,0.13,0.16,0.21,0.24,0.27
Tidal amplitude (m),0.42,0.42,0.42,0.42,0.42,0.42
,,,,,,
