Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,Monthly Air Temperature (° C),,,,,,,,,,,,,,,,,
,Jan,,Feb,,Mar,,Apr,,May,,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Mean,,?18.5,,?16.8,,?12.0,,?3.7,,1.1,,6.0,10.5,13.0,9.9,3.1,?7.3,?14.4,?2.4
Highest,,?0.1,,?0.8,,8.0,,11.8,,25.6,,31.3,32.1,32.4,25.0,17.8,9.0,1.0,32.4
,,,,,,,,,,,,,,,,,,,
Lowest,,?38.6,,?35.0,,?33.2,,?26.1,,?11.0,,?2.8,0.6,3.5,?0.4,?15.4,?25.2,?33.6,?38.6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
