(1),(2),(3),(4),(5) (6),(7),(8),(9)
Variable,Range,Reported,Mode of,Required Sensor,Output,Typical,Remarks
,,Resolution,Measurement/,Measurement Time,Averaging,Operational,
,,,Observation,Uncertainty Constant,Time,Performance,
6. Visibility,,,,,,,
6.1 MOR,< 50 m to 70 km,10 m,I,50 m for ? 500 m < 30 s,1 min and,The larger of 20 m,Achievable instrumental accuracy can
,,,,10 % for > 500 m,10 min,or 20 %,depend on the cause of obscuration.
,,,,and ? 1500 m,,,Quantity to be averaged: extinction
,,,,"coefficient (see WMO-No 8, Part III, 20 % > 1500 m",,,"Chapter 3, Section 3.6). Preference for"
,,,,,,,averaging logarithmic values.
6.2 RVR,10 m to1500 m,1 m,A,10 m for ? 400 m < 30 s,1 min and,The larger of 20 m,Should be in accordance with WMO-
,,,,25 m for > 400 m,10 min,or 20 %,"No.49, Volume II, Attachment A (2004"
,,,,to ? 800 m,,,ed.) and ICAO Doc 9328-AN/908 (2nd
,,,,"ed., 2000). 10% for > 800 m",,,
7. Waves,,,,,,,
7.1 Time series of sea,,,,,,±0.2 m for ? 5 m,
surface elevation,?15 m to +20 m,0.1 m,I,0.5 s,n/a,±4 % for > 5 m,Length of time series 17 min (typical). Sampling frequency 2 Hz.
7.2 Variables from time,,,,,,,
series (zero crossing,,,,,,,
analysis),,,,,,,
,,,,,,Depends on,
7.2.1 Significant wave,,,,0.5 m for ? 5 m,,,
height (Hs),0 m to 20 m,0.1 m,A,0.5 s 10 % for > 5 m,20 min (typical),averaging time and sea regularity as,
,,,,,,well as intrinsic,
7.2.2 Average zero,,,,,,,
crossing period (T ) z,3 s to 30 s,1 s,A,0.5 s 0.5 s,20 min (typical),instrument accuracy.,
7.2.3 Maximum wave,,,,,,,
height (Hmax),0 m to 35 m,,I,0.5 s,20 min (typical),,Observed value at location of sensor. New value every 30 min (typical).
