11.1 General ................................................................................................................................................. 31,Unnamed: 1
11.2 Common Requirements...................................................................................................................... 31,
11.3 Meteorology ......................................................................................................................................... 32,
11.4 Oceanography ..................................................................................................................................... 33,
11.5 Data Quality Control ........................................................................................................................... 34,
12 Information Concerning the Annexes ............................................................................................... 34,
12.1 Information Concerning Annex A ...................................................................................................... 34,
12.2 Information Concerning the Regional Annexes .............................................................................. 34,
Annex A (informative)  Additional Information and Guidance ...................................................................... 35,
Annex B (informative)  Northwest Europe ...................................................................................................... 88,
Annex C (informative)  West Coast of Africa .................................................................................................. 98,
Annex D (informative)  Offshore Canada ...................................................................................................... 109,
Annex E (informative)  Sakhalin/Sea of Okhotsk.......................................................................................... 137,
Annex F (informative)  Caspian Sea .............................................................................................................. 160,
Annex G (informative)  Southern East Asian Sea ........................................................................................ 178,
Annex H (informative)  US Gulf of Mexico ..................................................................................................... 197,
Annex I (informative)  US Coast of California ............................................................................................... 240,
Annex J (informative)  Other US Waters ....................................................................................................... 245,
Annex K (informative)  Identification and Explanation of Deviations ........................................................ 249,
Bibliography ................................................................................................................................................... 251,
Figures,
"1 Water Depth, Tides, and Storm Surges ................................................................................................ 20",
A.1 Overview of the Process of Producing Metocean Parameters .......................................................... 37,
A.2 Examples of Wind Spectra .................................................................................................................... 52,
A.3 Regions of Convergence of Alternative Wave Theories .................................................................... 67,
A.4 Doppler Shift in Wave Period due to Steady CurrentRelationship between Intrinsic and,
Apparent Periods ................................................................................................................................... 70,
A.5 Linear and Nonlinear Stretching of Current Profiles .......................................................................... 77,
B.1 Map of Northwest Europe Region ........................................................................................................ 95,
B.2 Water DepthsNorthwest Europe Region .......................................................................................... 96,
B.3 Limit of Sea IceNorthwest Europe RegionAnnual Probabilities of Exceedance of 10?2 and,
10?4 ........................................................................................................................................................... 97,
B.4 Limit for Collision with IcebergsNorthwest Europe RegionProbabilities of Exceedance of,"--`,,`,,`,,,,`,```,`,,,````,`,`-`-`,,`,,`,`,,`---"
10?2 and 10?4 ............................................................................................................................................ 97,
C.1 Map of West Coast of Africa Region: Locations of Example Metocean Parameters .................... 108,
D.1 Map of Canada ...................................................................................................................................... 110,
D.2 East Coast of Canada Current Regions of Oil and Gas Production OperationsNear Sable,
Island Offshore Nova Scotia and on the Grand Banks Offshore Newfoundland and Labrador ..... 111,
D.3 Canadian East Coast Ocean Current Regime ................................................................................... 114,
D.4 Map of the Gulf of St. Lawrence Showing the General Circulation Pattern ................................... 116,
D.5 Mean General Summer Circulation of the Surface Water in the Beaufort and Chukchi Seas  ............... 117 ],
D.6 Surface Circulation in the Southeastern Beaufort Sea for Northwest and East Winds from,
Surface Drift Studies  ........................................................................................................................... 118,
D.7 30-Year Frequency of Sea Ice Offshore the Canadian East Coast for the Last Week of March,
(19812010)  .......................................................................................................................................... 119,
D.8 Map Showing the Three Beaufort Sea Ice Zones in the Arctic ........................................................ 123,
D.9 Probability of Finding Pressure Ridge Keels in the Polar Ice Pack ................................................ 124,
