(1),(2),(3),(4),(5),(6),(7),(8) (9)
Variable,Range,Reported,Mode of,Required,Sensor,Output,Typical Operational Remarks
,,Resolution,Measurement/,Measurement,Time,Averaging,Performance
,,,Observation,Uncertainty,Constant,Time,
7.3 Wave spectrum,,,,,,,Depends on Instruments may include wave
,,,,,,Minimum 17 min,"averaging time and sea regularity as well as intrinsic instrument etc. (1 Hz sampling frequency is buoys, altimeter, microwave Doppler radar, HF radar, navigation radar"
,,,,,,,accuracy. sufficient.)
7.3.1,,,,,,,
,,0.1 m2·Hz?1,I,,,,
1-D spectral density,,,,,,,Should be sufficient
,,,,,,,to achieve 7.4
Frequency,0.035 Hz to 0.3 Hz,< 0.01 Hz,,,,,requirements.
7.3.2,,,,,,,
,,0.1 m2·Hz?1 ?1,,,,,
2-D spectral density,,·rad,,,,,
Frequency,0.035 Hz to,,,,,,Should be sufficient
,0.3 Hz,< 0.01 Hz,,,,,to achieve 7.4
Direction,,,,,,,requirements. 2-D spectrum may be based on
,0 ° to 360 °,10° (see remark),,,,,parameterized directional distribution and reported as direction
,,,,,,,and spread parameters.
