Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Peak Period (s),Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Significant,0.5,1.5,2.5,3.5,4.5,5.5,6.5  7.5  8.5,9.5,,10.5,11.5  Total
Wave Height,to,to,to,to,to,to,to to to,,to,to,to for 0.5
(m),1.5,2.5,3.5,4.5,5.5,6.5,7.5 8.5 9.5,10.5,,11.5,12.5 to 12.5
0.2 to 0.5,0,0.16,1.99,4.26,5.67,2.74,1.05 0.67 0.05,0.01,,0.02,0 16.62
0.5 to 0.8,0,0.04,1.22,3.39,7.78,6.62,1.84 0.53 0.13,0.01,,0.00,0 21.56
0.8 to 1.1,0,0.01,0.35,1.41,4.80,7.84,3.14 0.61 0.08,0.03,,0.00,0 18.27
1.1 to 1.4,0,0,0.07,0.27,1.97,5.89,4.78 1.50 0.08,0.01,,0.01,0 14.58
1.4 to 1.7,0,0,0.01,0.05,0.49,3.02,4.28 2.32 0.14,0.03,,0.01,0 10.35
1.7 to 2.0,0,0,0,0,0.13,1.16,2.87 2.37 0.23,0.03,,0.01,0 6.80
2.0 to 2.3,0,0,0,0,0.03,0.36,1.54 2.05 0.39,0.08,,0.02,0 4.47
2.3 to 2.6,0,0,0,0,0,0.11,0.62 1.46 0.39,0.1,,0.02,0 2.70
2.6 to 2.9,0,0,0,0,0,0.02,0.20 0.88 0.37,0.11,,0.02,0 1.60
2.9 to 3.2,0,0,0,0,0,0,0.06 0.46 0.42,0.08,,0.02,0 1.04
3.2 to 3.5,0,0,0,0,0,0,0.02 0.20 0.25,0.1,,0.03,0 0.60
3.5 to 3.8,0,0,0,0,0,0,0.01 0.12 0.17,0.13,,0.03,0 0.46
3.8 to 4.1,0,0,0,0,0,0,0 0.08 0.12,0.13,,0.04,0 0.37
4.1 to 4.4,0,0,0,0,0,0,0 0.02 0.05,0.08,,0.03,"-0-` ,,`,,`,,,,`,```,`,,0,`.``1`,`8,` -`-`,,`,,`,`,,`---"
4.4 to 4.7,0,0,0,0,0,0,0 0.01 0.03,0.04,,0.05,0 0.13
4.7 to 5.0,0,0,0,0,0,0,0 0 0.01,0.03,,0.05,0 0.09
5.0 to 5.3,0,0,0,0,0,0,0 0 0,0.01,,0.05,0 0.06
5.3 to 5.6,0,0,0,0,0,0,0 0 0,0.0,,0.04,0 0.04
5.6 to 5.9,0,0,0,0,0,0,0 0 0,0.01,,0.04,0 0.05
5.9 to 6.3,0,0,0,0,0,0,0 0 0,0.01,,0.02,0 0.03
Total for,,,,,,,,,,,
0.2 to 6.3,0,0.21,3.64,9.38,20.87,27.76,20.41 13.28 2.91,1.03,,0.51,0 100.00
NOTE The table does not adequately represent extreme hurricane or extratropical storm events.,,,,,,,,,,,
