Return Period (years) Metocean Parameter,Unnamed: 0,Unnamed: 1
1 5 10,50,100
Nominal water depth 30 m,,
Wind speed at 10 m above MSL (m/s),,
10 min mean 19 23 25,29,31
3 s gust 24 29 32,37,39
Wave height (m),,
Maximum 4.8 5.5 5.8,6.5,6.8
Significant 2.3 2.7 2.8,3.2,3.3
Wave direction (from) SSW,,
Spectral peak period (s),,
For swell 15 to 17 15 to 17 15 to 17,15 to 17,15 to 17
For wind seas 7 to 8 7 to 8 7 to 8,7 to 8,7 to 8
Current speed (m/s),,
Surface a  0.9 1.0 1.0,1.1,1.1
Mid-depth 0.8 0.9 0.9,1.0,1.0
1 m above sea floor 0.5 0.6 0.6,0.7,0.7
a These extreme values exclude any effect from river plumes.,,
