(1),(2),(3),(4),(5),(6),(7),(8),(9)
Variable,Range,Reported,Mode of,Required,Sensor,Output,Typical Operational,Remarks
,,Resolution,Measurement/,Measurement,Time,Averaging,Performance,
,,,Observation,Uncertainty,Constant,Time,,
1 Temperature,,,,,,,,
1.1 Air temperature ?40 °C to +40 °C,,0.1 K,I,0.1 K,20 s,1 min,0.2 K,
1.2 Extremes of air,,,,,,,,Operational performance and
temperature ?40 °C to +40 °C,,0.1 K,I,0.1 K,20 s,1 min,0.2 K,effective time constant can be affected by the design of
1.3 Sea-surface,,,,,,,,thermometer solar radiation screen.
temperature ?2 °C to +40 °C,,0.1 K,I,0.1 K,20 s,1 min,0.2 K,
2 Humidity,,,,,,,,
2.1 Dewpoint,,,,,,,,If measured directly.
temperature,< ?60 °C to,0.1 K,I,0.1 K,20 s,1 min,0.5 K,Tending to ± 0.1 °C when relative
,+35 °C,,,,,,,humidity nearing saturation.
2.2 Relative humidity,,,,,,,,Solid state sensors Humidity
,,,,,,,,can show nearing
,5 % to 100 %,1 %,I,+3 %,40 s,1 min,+3 % to 5 %,significant temperature and saturation.
,,,,,,,,humidity
,,,,,,,,dependence.
3 Atmospheric pressure,,,,,,,,
3.1 Pressure,,,,,,,,Range to sea level. Accuracy
,920 hPa to,,,,,,,seriously affected by dynamic
,1080 hPa,0.1 hPa,I,0.1 hPa,20 s,1 min,0.3 hPa,pressure due to wind and temperature co-efficient of
,,,,,,,,transducer.
3.2 Tendency,Not specified,0.1 hPa,I,0.2 hPa,,,0.2 hPa,Difference between instantaneous values.
