Unnamed: 0,Return Period (years),Unnamed: 2
Metocean Parameter,,
1,10 50,100
Nominal water depth (m) 450,450 450,450
Wind speed at 10 m above MSL,,
10 min mean (m/s) 25.8,32.0 37.1,39.4
3 s gust (m/s) 31.6,39.9 46.3,50.4
Waves,,
Maximum height (m) 11.2,17.5 20.8,21.6
"Significant height (m) --`,,`,,`,,,,`,```,`,,,``5``,.`8,`- `-`,,`,,`,`,,`---",9.0 10.7,11.6
Direction (from) NW/SE,NW/SE NW/SE,NW/SE
Spectral peak period (s) 9.7,11.9 13.0,13.4
Surge,,
Positive surge (m) 0.2,0.4 0.55,0.6
Negative surge (m) 0.3,0.4 0.55,0.6
Current speed,,
Surface (m/s) 0.95,1.2 1.30,1.40
Mid-depth (m/s) 0.60,0.8 0.80,0.95
1 m above sea floor (m/s) 0.60,0.8 0.80,0.95
