Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Load Case,Return Period (years),,,,,
50,100,200.0,1000.0,2000.0,2500.0,
,,,,,,
Wind speed (10 m elevation),,,,,,
1 h mean wind speed (m/s),26.0,29.1,32.5,40.5,44.0,45.1
10 min mean wind speed (m/s),27.0,30.3,33.9,42.2,45.7,46.9
1 min mean wind speed (m/s),29.7,33.3,37.3,46.4,50.3,51.6
3 s gust (m/s),36.0,40.5,45.3,56.3,61.1,62.6
Waves,,,,,,
Peak spectral period (s),11.7,12.3,12.9,14.2,14.7,14.9
Period of maximum wave (s),10.6,11.1,11.6,12.8,13.3,13.4
Currents (depth ? 50 m),,,,,,
Surface speed (m/s),1.30,1.46,1.63,2.03,2.2,2.26
Bottom of profile (m),54.6,61.1,68.3,85.1,92.4,94.7
Currents (depth 10 m to 50 m),,,,,,
Uniform speed (m/s),1.30,1.46,1.63,2.03,2.2,2.26
,,,,,,
"NOTE 1Wind speeds for a given return period are applicable to all water depths throughout the region.NOTE 2ExtremewaterlevelisreferencedtoMLLWandconsistsofextremecrestelevationplusassociated surge and tide.NOTE 3See H.9.2.2.5 for guidance if air gap relative to n-year extreme water level is not positive.NOTE 4See Figure H.20 and Figure H.21 for wave and extreme water level values for water depthsbetween 10 m and 120 m.NOTE 5The peak spectral period and period of maximum wave apply to waves in all water depths.When assessing systems with dynamic sensitivity, a ± 2 s variation in wave period should beconsidered.NOTE 6For depths ? 50 m, the current profile is defined by a three-point shape (see H.9.2.2.6).NOTE 7Reference Figure H.22 for surge and tide in water depths less than 120 m.",,,,,,
,,,,,,
