Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Metocean Parameter,,Nigeria,"NorthernAngola","SouthernNamibia",
,Shallow Water,Deep Water,,,
,,,,,
,,,,,
Mean spring tidal range (m),,1.9,1.5,1.4,2.0
,,,,,
"Sea water temperature (°C)Minimum near surfaceMaximum near surfaceMinimum near bottomMaximum near bottom",,,,,
,22,25,17,9,
,,,,,
,32,31,28,28,
,,,,,
,20,4,4,4,
,,,,,
,30,4,4,,
,,,,,
,,,,,
"Air temperature (°C)MinimumMaximum",,,,,
,18,20,17,8,
,,,,,
,33,33,35,26,
,,,,,
,,,,,
