Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Load Case,Return Period (years),,,,,
1,5,10.0,25.0,50.0,100.0,
,,,,,,
Wind dominant,,,,,,
Wind speed,1,1.0,1.0,1.0,1.0,1.0
Wave height,0.90,0.9,0.9,0.9,0.9,0.9
Current speed,0.75,0.75,0.65,0.65,0.6,0.6
Surge/tide,0,0.0,0.0,0.0,0.0,0.0
Wind direction from wave (deg),0,0.0,0.0,0.0,0.0,0.0
Current direction from wave (deg),0,0.0,0.0,0.0,0.0,0.0
Wave dominant,,,,,,
Wind speed,0.93,0.93,0.93,0.93,0.93,0.93
Wave height,1,1.0,1.0,1.0,1.0,1.0
Current speed,0.75,0.75,0.65,0.65,0.6,0.6
Surge/tide,0,0.0,0.0,0.0,0.0,0.0
Wind direction from wave (deg),0,0.0,0.0,0.0,0.0,0.0
Current direction from wave (deg),0,0.0,0.0,0.0,0.0,0.0
Current dominant,,,,,,
Wind speed,0.70,0.7,0.7,0.7,0.7,0.7
Wave height,0.75,0.75,0.75,0.75,0.75,0.75
Current speed,1,1.0,1.0,1.0,1.0,1.0
Surge/tide,0,0.0,0.0,0.0,0.0,0.0
Wind direction from wave (deg),0,0.0,0.0,0.0,0.0,0.0
Current direction from wave (deg),+90,90.0,90.0,90.0,90.0,90.0
,,,,,,
