Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Load Case,Return Period (years),,,,,,
10,25,50.0,100.0,200.0,1000.0,2000.0,
,,,,,,,
Wind speed (10 m elevation),,,,,,,
1 h mean wind speed (m/s),20.6,24.9,27.3,29.6,31.8,36.5,38.4
10 min mean wind speed (m/s),21.4,25.9,28.4,30.7,33.1,38.0,39.9
1 min mean wind speed (m/s),23.3,28.5,31.3,33.9,36.4,41.8,43.9
3 s gust (m/s),28.0,34.5,38.0,41.2,44.2,50.7,53.3
Waves,,,,,,,
Significant wave height (m),5.5,6.9,7.7,8.4,9.0,10.4,10.9
",``M`,`,a,,`x``i`m,`,`u-`-m`,,` ,,w`,`a,,`v--e-  height (m)",9.7,12.2,13.6,14.8,15.9,18.3,19.2
Extreme water level (m),6.6,8.2,9.1,9.9,10.7,12.2,12.8
Peak spectral period (s),9.9,11.0,11.5,12.0,12.4,13.2,13.5
Period of maximum wave (s),8.9,9.9,10.4,10.8,11.1,11.9,12.1
Currents,,,,,,,
Surface speed (m/s),1.03,1.25,1.37,1.48,1.59,1.82,1.92
Speed at mid-profile (m/s),0.77,0.94,1.02,1.11,1.19,1.37,1.44
Bottom of profile (m),43.2,52.4,57.4,62.1,66.8,76.6,80.6
Water level,,,,,,,
Associated storm surge (m),0.16,0.26,0.33,0.4,0.47,0.56,0.6
Tidal amplitude (m),0.42,0.42,0.42,0.42,0.42,0.42,0.42
,,,,,,,
