Unnamed: 0,Unnamed: 1,Unnamed: 2,Return Period (years),Unnamed: 4
Metocean Parameter,,,,
,1,5,10 50,100
Nominal water depth,,,70 m,
Wind speed at 10 m above MSL,,,,
1 h mean (m/s),18.5,20.6,21.4 23.3,24.0
10 min mean (m/s),21.4,23.9,24.8 27.0,27.8
1 min mean (m/s),25.5,28.5,29.5 32.1,33.1
3 s gust (m/s),30.9,34.5,35.7 38.9,40.1
Waves,,,,
Significant height (m),4.0,4.6,4.8 5.3,5.5
Maximum height (m),7.7,8.7,9.1 10.0,10.4
Mean period (s),7.0,7.5,7.6 8.0,8.2
Spectral peak period (s),9.9,10.5,10.8 11.3,11.5
Wave direction (from),,,,
Extreme,N,N,N N,N
Prevailing,NNE,NNE,NNE NNE,NNE
Current speed,,,,
Surface (m/s),1.06,1.13,1.22 1.32,1.40
