# Frozen potential-flow heave-RAO reference for the wave-excited body CFD sweep (#1324).
# Method: capytaine 2.3.1 linear BEM; total excitation = Froude-Krylov + diffraction.
# Geometry: 0.2 m beam x 0.1 m draft square (half-submerged), long box L=6.0 m (~2D slab), resolution (16, 160, 16).
# Water depth 0.4 m (matches CFD). rho=1000.0, g=9.81.
# a33/b33 = radiation added mass/damping; excitation_force_abs per unit wave amplitude (N/m for the L=6.0 m box).
# Anchors: RAO->1 (long wave, reproduces CFD #1302 1.017); resonance ~0.9 s; RAO->0 (short wave). Regenerate: generate_rao_reference.py
period_s,omega_rad_s,rao_heave,added_mass_a33,radiation_damping_b33,excitation_force_abs
3.5,1.7951958020513104,1.0098026548576502,116.12849162750418,581.6944273642299,11168.84999672562
3.0,2.0943951023931953,1.0138333955422767,108.72088335176137,554.7253138083133,10981.041837109726
2.5,2.5132741228718345,1.0211970460435107,108.61155007022032,545.9781129592684,10639.567840239622
2.2,2.855993321445266,1.029051497862134,104.90968009429723,553.101628445858,10354.57016965333
2.0,3.141592653589793,1.0371690206436202,99.21341937744094,554.3127881387744,10127.937036757305
1.8,3.490658503988659,1.0496247950024062,93.74590235915139,541.5602247323367,9824.957756044261
1.6,3.9269908169872414,1.0703474475286163,91.17545926924329,517.9931687138147,9370.888820437036
1.5,4.1887902047863905,1.0867033488856743,91.97907833846673,507.701655664062,9050.836339676047
1.4,4.487989505128276,1.1097935082495172,91.45246472317301,499.916823886889,8701.63838536203
1.3,4.83321946706122,1.1444193886807004,89.79039789437549,487.0199289756201,8312.251872253257
1.2,5.235987755982989,1.2003282845257803,88.52169874095712,463.59754902540175,7830.556809854647
1.15,5.463639397547467,1.2512893963264404,94.85273612221955,440.49049338025816,7350.095482025229
1.1,5.711986642890532,1.3118826246576907,94.3359613099428,427.992350859626,7042.0642694142625
1.05,5.983986006837701,1.397210993527275,93.29898932031253,413.215939205426,6730.658097889458
1.0,6.283185307179586,1.5239076455057112,92.39690251485933,393.4960716604112,6390.233715114815
0.97,6.477510625958336,1.6284655237074876,92.03598920921043,381.2213398438034,6172.180772611074
0.94,6.684239688488922,1.7639705123239924,91.83298439256365,367.94295734219645,5948.872233255865
0.92,6.829549246934333,1.922604027089399,96.68116525500244,346.79247959223096,5566.60598744415
0.9,6.981317007977318,2.052891450469233,97.10169845810435,334.3386262969718,5379.188383730211
0.88,7.139983303613167,2.1679797748608065,97.70682208846102,321.0067794677714,5179.02857931953
0.86,7.306029426953008,2.20081905388401,90.6076033628206,327.06653947379164,5386.870571673079
0.84,7.479982508547127,2.160311768963908,96.76831374264955,299.47080099674145,4899.982139842654
0.82,7.662421106316569,1.9118750268965043,99.04509659580752,280.9871704444292,4612.70094975292
0.8,7.853981633974483,1.5760467548840031,100.69105690095317,262.49874407635707,4356.551829743369
0.77,8.159980918415046,1.1033719025812538,102.82140898071403,236.50969985875858,3996.0520564567014
0.74,8.49079095564809,0.7599846463204486,104.98555506800895,209.63355801390315,3641.030078364732
0.7,8.975979010256552,0.46289108152230957,108.30650981896652,172.8996148261857,3148.4301238267226
0.66,9.519977738150887,0.29464990739696517,111.17488990087968,138.98134076494898,2732.653718708946
0.62,10.134169850289656,0.1774845661929824,115.55806956731577,103.08302980370169,2212.1674707623533
