,OD,ID,t,Pd,Pa,Pt,Pb
0,12.75,10.75,1.0,5745.376653879021,6463.548735613899,8229.055404497434,9575.627756465035
1,12.75,10.55,1.1,6454.25200434111,7261.033504883749,9134.786248675598,10757.08667390185
2,12.75,10.35,1.2,7176.395488040611,8073.444924045688,10057.852702862281,11960.659146734351
3,12.75,10.15,1.3,7912.313277691985,8901.352437403484,10998.931341847841,13187.188796153308
4,12.75,9.95,1.4,8662.541075548645,9745.358709992228,11958.739138128085,14437.568459247743
5,12.75,9.75,1.5,9427.646455992337,10606.10226299138,12938.036743478144,15712.744093320563
6,12.75,9.55,1.6,10208.231445129084,11484.26037577022,13937.632110655544,17013.71907521514
7,12.75,9.35,1.7,11004.935366761292,12380.552287606455,14958.384498433807,18341.558944602155
8,12.75,9.15,1.8,11818.437988441323,13295.74273699649,16001.208909708763,19697.396647402205
9,12.75,8.95,1.9,12649.463006395257,14230.645882194665,17067.08102011714,21082.438343992097
10,12.75,8.75,2.0,13498.78191408336,15186.129653343782,18157.042663695764,22497.9698568056
