,OD,ID,t,Pd,Pa,Pt,Pb
0,10.75,8.75,1.0,5915.307147508082,6654.720540946593,9927.987259198342,9858.845245846804
1,10.75,8.55,1.1,6761.27394651126,7606.433189825168,11043.152548384362,11268.7899108521
2,10.75,8.35,1.2,7626.205929990519,8579.481671239335,12184.714718467441,12710.343216650865
3,10.75,8.15,1.3,8510.97297287071,9574.844594479551,13353.953801902877,14184.954954784518
4,10.75,7.95,1.4,9416.506205367745,10593.569481038714,14552.245256233022,15694.17700894624
5,10.75,7.75,1.5,10343.80390285856,11636.779390715883,15781.069691442903,17239.673171430935
6,10.75,7.55,1.6,11293.938101133454,12705.680363775138,17042.023869274235,18823.230168555758
7,10.75,7.35,1.7,12268.062046947407,13801.569802815833,18336.83317945704,20446.770078245678
8,10.75,7.15,1.8,13267.418613723254,14925.845940438661,19667.36583741451,22112.364356205424
9,10.75,6.95,1.9,14293.349836438365,16080.018565993163,21035.649096585166,23822.249727397277
10,10.75,6.75,2.0,15347.307749191254,17265.721217840164,22443.88782844961,25578.84624865209
