position_in,upstroke_load_lb,downstroke_load_lb
0.50,10757.51,9977.37
1.00,10864.67,10100.18
1.50,10980.40,10123.11
2.00,11117.57,10170.26
2.50,11280.46,10251.70
3.00,11434.77,10320.29
3.50,11589.08,10354.58
4.00,11751.97,10318.57
4.50,11889.14,10241.70
5.00,12013.45,10153.12
5.50,12120.61,10097.39
6.00,12214.91,10045.95
6.50,12309.21,10003.09
7.00,12390.65,9934.50
7.50,12437.81,9874.49
8.00,12433.52,9801.62
8.50,12394.94,9728.75
9.00,12304.93,9667.89
9.50,12180.62,9668.74
10.00,12052.02,9673.03
10.50,11932.00,9694.46
11.00,11807.69,9739.71
11.50,11683.39,9788.76
12.00,11563.37,9814.48
12.50,11443.34,9831.63
13.00,11331.32,9844.49
13.50,11229.02,9857.35
14.00,11125.49,9883.07
14.50,11040.42,9932.79
15.00,10980.40,9973.08
15.50,10937.54,10028.81
16.00,10941.83,10063.10
16.50,10975.64,10063.10
17.00,11036.13,10033.09
17.50,11109.00,9994.52
18.00,11194.73,9925.93
18.50,11280.46,9865.92
19.00,11391.91,9805.91
19.50,11494.78,9771.62
20.00,11597.66,9741.61
20.50,11700.53,9677.32
21.00,11799.12,9625.88
21.50,11880.56,9557.29
22.00,11966.29,9480.14
22.50,12180.62,9428.70
23.00,12153.29,9377.26
23.50,12223.48,9360.12
24.00,12039.16,9360.12
24.50,11974.87,9377.26
25.00,11897.71,9420.13
25.50,11820.55,9480.14
26.00,11726.25,9531.58
26.50,11631.95,9600.16
27.00,11537.65,9664.46
27.50,11437.89,9728.75
28.00,11344.76,9823.06
28.50,11246.17,9908.79
29.00,11164.72,9994.52
29.50,11100.43,10063.10
30.00,11083.28,10097.39
30.50,11134.72,10080.24
31.00,11216.16,10028.81
31.50,11306.18,9960.22
32.00,11423.91,9874.49
32.50,11529.07,9788.76
33.00,11657.67,9694.46
33.50,11777.69,9583.01
34.00,11910.57,9480.14
34.50,12009.16,9385.84
35.00,12030.59,9300.11
35.50,11974.87,9274.39
36.00,11871.99,9338.68
36.50,11717.68,9454.42
37.00,11520.50,9595.87
37.50,11323.32,9728.75
38.00,11156.15,9883.07
38.50,11074.71,10063.10
39.00,11139.00,10251.70
39.50,11383.33,10440.31
40.00,11657.67,10594.62
