# Region      : all region0
# Cells       : 12800
# Volume      : 1.200000e+03
# Time        	volIntegrate(alpha.water)
0.01          	5.999037e+02
0.02          	5.997353e+02
0.03          	5.995008e+02
0.04          	5.992052e+02
0.05          	5.988525e+02
0.06          	5.984462e+02
0.07          	5.979892e+02
0.08          	5.974841e+02
0.09          	5.969338e+02
0.1           	5.963413e+02
0.11          	5.957107e+02
0.12          	5.950447e+02
0.13          	5.943452e+02
0.14          	5.936152e+02
0.15          	5.928570e+02
0.16          	5.920726e+02
0.17          	5.912636e+02
0.18          	5.904326e+02
0.19          	5.895807e+02
0.2           	5.887102e+02
0.21          	5.878226e+02
0.22          	5.869191e+02
0.23          	5.860009e+02
0.24          	5.850699e+02
0.25          	5.841270e+02
0.26          	5.831733e+02
0.27          	5.822097e+02
0.28          	5.812376e+02
0.29          	5.802578e+02
0.3           	5.792712e+02
0.31          	5.782782e+02
0.32          	5.772802e+02
0.33          	5.762778e+02
0.34          	5.752722e+02
0.35          	5.742633e+02
0.36          	5.732524e+02
0.37          	5.722401e+02
0.38          	5.712271e+02
0.39          	5.702136e+02
0.4           	5.692001e+02
0.41          	5.681871e+02
0.42          	5.671751e+02
0.43          	5.661644e+02
0.44          	5.651556e+02
0.45          	5.641490e+02
0.46          	5.631448e+02
0.47          	5.621435e+02
0.48          	5.611452e+02
0.49          	5.601503e+02
0.5           	5.591592e+02
0.51          	5.581720e+02
0.52          	5.571891e+02
0.53          	5.562106e+02
0.54          	5.552367e+02
0.55          	5.542674e+02
0.56          	5.533031e+02
0.57          	5.523441e+02
0.58          	5.513903e+02
0.59          	5.504421e+02
0.6           	5.494995e+02
0.61          	5.485627e+02
0.62          	5.476316e+02
0.63          	5.467064e+02
0.64          	5.457873e+02
0.65          	5.448743e+02
0.66          	5.439677e+02
0.67          	5.430673e+02
0.68          	5.421735e+02
0.69          	5.412860e+02
0.7           	5.404050e+02
0.71          	5.395305e+02
0.72          	5.386623e+02
0.73          	5.378006e+02
0.74          	5.369451e+02
0.75          	5.360960e+02
0.76          	5.352532e+02
0.77          	5.344167e+02
0.78          	5.335865e+02
0.79          	5.327625e+02
0.8           	5.319447e+02
0.81          	5.311330e+02
0.82          	5.303272e+02
0.83          	5.295272e+02
0.84          	5.287329e+02
0.85          	5.279441e+02
0.86          	5.271606e+02
0.87          	5.263822e+02
0.88          	5.256088e+02
0.89          	5.248404e+02
0.9           	5.240767e+02
0.91          	5.233176e+02
0.92          	5.225631e+02
0.93          	5.218130e+02
0.94          	5.210671e+02
0.95          	5.203255e+02
0.96          	5.195878e+02
0.97          	5.188541e+02
0.98          	5.181241e+02
0.99          	5.173978e+02
1             	5.166749e+02
1.01          	5.159554e+02
1.02          	5.152391e+02
1.03          	5.145258e+02
1.04          	5.138153e+02
1.05          	5.131075e+02
1.06          	5.124023e+02
1.07          	5.116993e+02
1.08          	5.109987e+02
1.09          	5.103001e+02
1.1           	5.096035e+02
1.11          	5.089088e+02
1.12          	5.082158e+02
1.13          	5.075245e+02
1.14          	5.068348e+02
1.15          	5.061465e+02
1.16          	5.054598e+02
1.17          	5.047744e+02
1.18          	5.040905e+02
1.19          	5.034078e+02
1.2           	5.027265e+02
1.21          	5.020464e+02
1.22          	5.013675e+02
1.23          	5.006897e+02
1.24          	5.000132e+02
1.25          	4.993377e+02
1.26          	4.986633e+02
1.27          	4.979899e+02
1.28          	4.973175e+02
1.29          	4.966461e+02
1.3           	4.959756e+02
1.31          	4.953060e+02
1.32          	4.946372e+02
1.33          	4.939693e+02
1.34          	4.933022e+02
1.35          	4.926358e+02
1.36          	4.919703e+02
1.37          	4.913054e+02
1.38          	4.906413e+02
1.39          	4.899778e+02
1.4           	4.893151e+02
1.41          	4.886529e+02
1.42          	4.879914e+02
1.43          	4.873305e+02
1.44          	4.866703e+02
1.45          	4.860106e+02
1.46          	4.853514e+02
1.47          	4.846929e+02
1.48          	4.840348e+02
1.49          	4.833773e+02
1.5           	4.827202e+02
1.51          	4.820637e+02
1.52          	4.814076e+02
1.53          	4.807519e+02
1.54          	4.800966e+02
1.55          	4.794417e+02
1.56          	4.787871e+02
1.57          	4.781329e+02
1.58          	4.774789e+02
1.59          	4.768252e+02
1.6           	4.761717e+02
1.61          	4.755184e+02
1.62          	4.748653e+02
1.63          	4.742124e+02
1.64          	4.735596e+02
1.65          	4.729068e+02
1.66          	4.722542e+02
1.67          	4.716016e+02
1.68          	4.709490e+02
1.69          	4.702965e+02
1.7           	4.696440e+02
1.71          	4.689915e+02
1.72          	4.683390e+02
1.73          	4.676865e+02
1.74          	4.670341e+02
1.75          	4.663816e+02
1.76          	4.657292e+02
1.77          	4.650768e+02
1.78          	4.644245e+02
1.79          	4.637722e+02
1.8           	4.631201e+02
1.81          	4.624680e+02
1.82          	4.618160e+02
1.83          	4.611642e+02
1.84          	4.605125e+02
1.85          	4.598610e+02
1.86          	4.592097e+02
1.87          	4.585585e+02
1.88          	4.579075e+02
1.89          	4.572567e+02
1.9           	4.566060e+02
1.91          	4.559555e+02
1.92          	4.553052e+02
1.93          	4.546550e+02
1.94          	4.540049e+02
1.95          	4.533550e+02
1.96          	4.527051e+02
1.97          	4.520554e+02
1.98          	4.514057e+02
1.99          	4.507560e+02
2             	4.501064e+02
2.01          	4.494569e+02
2.02          	4.488073e+02
2.03          	4.481578e+02
2.04          	4.475083e+02
2.05          	4.468587e+02
2.06          	4.462092e+02
2.07          	4.455596e+02
2.08          	4.449100e+02
2.09          	4.442604e+02
2.1           	4.436108e+02
2.11          	4.429612e+02
2.12          	4.423115e+02
2.13          	4.416618e+02
2.14          	4.410122e+02
2.15          	4.403624e+02
2.16          	4.397127e+02
2.17          	4.390630e+02
2.18          	4.384133e+02
2.19          	4.377636e+02
2.2           	4.371139e+02
2.21          	4.364643e+02
2.22          	4.358147e+02
2.23          	4.351652e+02
2.24          	4.345158e+02
2.25          	4.338665e+02
2.26          	4.332172e+02
2.27          	4.325681e+02
2.28          	4.319190e+02
2.29          	4.312701e+02
2.3           	4.306213e+02
2.31          	4.299726e+02
2.32          	4.293241e+02
2.33          	4.286758e+02
2.34          	4.280277e+02
2.35          	4.273797e+02
2.36          	4.267319e+02
2.37          	4.260843e+02
2.38          	4.254369e+02
2.39          	4.247897e+02
2.4           	4.241427e+02
2.41          	4.234959e+02
2.42          	4.228493e+02
2.43          	4.222029e+02
2.44          	4.215567e+02
2.45          	4.209107e+02
2.46          	4.202648e+02
2.47          	4.196192e+02
2.48          	4.189737e+02
2.49          	4.183284e+02
2.5           	4.176833e+02
2.51          	4.170384e+02
2.52          	4.163936e+02
2.53          	4.157489e+02
2.54          	4.151045e+02
2.55          	4.144602e+02
2.56          	4.138160e+02
2.57          	4.131720e+02
2.58          	4.125282e+02
2.59          	4.118845e+02
2.6           	4.112409e+02
2.61          	4.105975e+02
2.62          	4.099542e+02
2.63          	4.093111e+02
2.64          	4.086682e+02
2.65          	4.080254e+02
2.66          	4.073827e+02
2.67          	4.067401e+02
2.68          	4.060978e+02
2.69          	4.054555e+02
2.7           	4.048134e+02
2.71          	4.041714e+02
2.72          	4.035296e+02
2.73          	4.028879e+02
2.74          	4.022464e+02
2.75          	4.016049e+02
2.76          	4.009637e+02
2.77          	4.003225e+02
2.78          	3.996816e+02
2.79          	3.990407e+02
2.8           	3.984000e+02
2.81          	3.977595e+02
2.82          	3.971191e+02
2.83          	3.964789e+02
2.84          	3.958388e+02
2.85          	3.951989e+02
2.86          	3.945591e+02
2.87          	3.939195e+02
2.88          	3.932801e+02
2.89          	3.926408e+02
2.9           	3.920017e+02
2.91          	3.913628e+02
2.92          	3.907240e+02
2.93          	3.900854e+02
2.94          	3.894470e+02
2.95          	3.888088e+02
2.96          	3.881707e+02
2.97          	3.875327e+02
2.98          	3.868950e+02
2.99          	3.862574e+02
3             	3.856200e+02
3.01          	3.849827e+02
3.02          	3.843457e+02
3.03          	3.837088e+02
3.04          	3.830720e+02
3.05          	3.824355e+02
3.06          	3.817991e+02
3.07          	3.811629e+02
3.08          	3.805269e+02
3.09          	3.798911e+02
3.1           	3.792554e+02
3.11          	3.786200e+02
3.12          	3.779847e+02
3.13          	3.773497e+02
3.14          	3.767149e+02
3.15          	3.760803e+02
3.16          	3.754459e+02
3.17          	3.748117e+02
3.18          	3.741778e+02
3.19          	3.735441e+02
3.2           	3.729106e+02
3.21          	3.722774e+02
3.22          	3.716444e+02
3.23          	3.710117e+02
3.24          	3.703793e+02
3.25          	3.697471e+02
3.26          	3.691152e+02
3.27          	3.684835e+02
3.28          	3.678522e+02
3.29          	3.672211e+02
3.3           	3.665902e+02
3.31          	3.659597e+02
3.32          	3.653294e+02
3.33          	3.646994e+02
3.34          	3.640697e+02
3.35          	3.634403e+02
3.36          	3.628112e+02
