# Region      : all region0
# Cells       : 12800
# Volume      : 1.200000e+03
# Time        	volIntegrate(alpha.water)
0.01          	6.000000e+02
0.02          	6.000000e+02
0.03          	6.000000e+02
0.04          	6.000000e+02
0.05          	6.000000e+02
0.06          	6.000000e+02
0.07          	6.000000e+02
0.08          	6.000000e+02
0.09          	6.000000e+02
0.1           	6.000000e+02
0.11          	6.000000e+02
0.12          	6.000000e+02
0.13          	6.000000e+02
0.14          	6.000000e+02
0.15          	6.000000e+02
0.16          	6.000000e+02
0.17          	6.000000e+02
0.18          	6.000000e+02
0.19          	6.000000e+02
0.2           	6.000000e+02
0.21          	6.000000e+02
0.22          	6.000000e+02
0.23          	6.000000e+02
0.24          	6.000000e+02
0.25          	6.000000e+02
0.26          	6.000000e+02
0.27          	6.000000e+02
0.28          	6.000000e+02
0.29          	6.000000e+02
0.3           	6.000000e+02
0.31          	6.000000e+02
0.32          	6.000000e+02
0.33          	6.000000e+02
0.34          	6.000000e+02
0.35          	6.000000e+02
0.36          	6.000000e+02
0.37          	6.000000e+02
0.38          	6.000000e+02
0.39          	6.000000e+02
0.4           	6.000000e+02
0.41          	6.000000e+02
0.42          	6.000000e+02
0.43          	6.000000e+02
0.44          	6.000000e+02
0.45          	6.000000e+02
0.46          	6.000000e+02
0.47          	6.000000e+02
0.48          	6.000000e+02
0.49          	6.000000e+02
0.5           	6.000000e+02
0.51          	6.000000e+02
0.52          	6.000000e+02
0.53          	6.000000e+02
0.54          	6.000000e+02
0.55          	6.000000e+02
0.56          	6.000000e+02
0.57          	6.000000e+02
0.58          	6.000000e+02
0.59          	6.000000e+02
0.6           	6.000000e+02
0.61          	6.000000e+02
0.62          	6.000000e+02
0.63          	6.000000e+02
0.64          	6.000000e+02
0.65          	6.000000e+02
0.66          	6.000000e+02
0.67          	6.000000e+02
0.68          	6.000000e+02
0.69          	6.000000e+02
0.7           	6.000000e+02
0.71          	6.000000e+02
0.72          	6.000000e+02
0.73          	6.000000e+02
0.74          	6.000000e+02
0.75          	6.000000e+02
0.76          	6.000000e+02
0.77          	6.000000e+02
0.78          	6.000000e+02
0.79          	6.000000e+02
0.8           	6.000000e+02
0.81          	6.000000e+02
0.82          	6.000000e+02
0.83          	6.000000e+02
0.84          	6.000000e+02
0.85          	6.000000e+02
0.86          	6.000000e+02
0.87          	6.000000e+02
0.88          	6.000000e+02
