,OD,ID,t,Pd,Pa,Pt,Pb
0,13.0,11.0,1.0,5237.212625199367,5891.864203349288,7499.477735101196,8728.687708665611
1,13.2,11.0,1.1,5785.528783032873,6508.719880911984,8184.872932393076,9642.547971721457
2,13.4,11.0,1.2,6325.599271969179,7116.299180965328,8859.96104356346,10542.665453281967
3,13.6,11.0,1.3,6857.668421733701,7714.876974450414,9525.047480769108,11429.447369556168
4,13.8,11.0,1.4,7381.96986070251,8304.716093290324,10180.424279480116,12303.283101170851
5,14.0,11.0,1.5,7898.727131862029,8886.068023344784,10826.370868429518,13164.545219770049
6,14.2,11.0,1.6,8408.154265079178,9459.173548214078,11463.154784950952,14013.590441798631
7,14.4,11.0,1.7,8910.456309348445,10024.263348017002,12091.03234028754,14850.760515580743
8,14.6,11.0,1.8,9405.82982832874,10581.558556869835,12710.249239012905,15676.38304721457
9,14.8,11.0,1.9,9894.463362166987,11131.271282437863,13321.041156310717,16490.772270278314
10,15.0,11.0,2.0,10376.53785832396,11673.605090614456,13923.634276506928,17294.229763873267
